const_itersMu,const_itersSigma,const_number,const_produced,const_required,const_salaryMu,const_salarySigma,const_tacticsMu,const_tacticsSigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
14.133887543045722,11.988450012868842,5.0,10.0,14.0,328057.64654379984,508533.0516296055,0.9275481504945288,0.2630542106871424,5.0,-2.539210226601646E7,945584.5824375375,1.0,0.0,1656140.0000000002,946766.3788707328,-5.427109999777158,46.494853998580695,2070175.0,1183457.9735884161
14.133887543045722,11.988450012868842,5.0,10.0,14.0,328057.64654379984,508533.0516296055,0.9275481504945288,0.2630542106871424,5.0,-2.5392100266016457E7,945585.161483181,1.0,0.0,1656140.0000000002,946766.3788707328,-5.427109999777158,46.494853998580695,2070175.0,1183457.9735884161
14.133887543045722,11.988450012868842,5.0,10.0,14.0,328057.64654379984,508533.0516296055,0.9275481504945288,0.2630542106871424,5.0,-2.539209826601646E7,945586.0621941034,1.0,0.0,1656140.0000000002,946766.3788707328,-5.427109999777158,46.494853998580695,2070175.0,1183457.9735884161
14.133887543045722,11.988450012868842,5.0,10.0,14.0,328057.64654379984,508533.0516296055,0.9275481504945288,0.2630542106871424,5.0,-2.5392096266016457E7,945586.9629071292,1.0,0.0,1656140.0000000002,946766.3788707328,-5.427109999777158,46.494853998580695,2070175.0,1183457.9735884161
14.133887543045722,11.988450012868842,5.0,10.0,14.0,328057.64654379984,508533.0516296055,0.9275481504945288,0.2630542106871424,5.0,-2.5392094266016454E7,945588.0315911163,1.0,0.0,1656140.0000000002,946766.3788707328,-5.427109999777158,46.494853998580695,2070175.0,1183457.9735884161
14.86374982631708,2.957393756793689,2.0,14.0,6.0,180493.74776004552,359077.6701289778,0.9501499338674757,0.17537231841350187,5.0,-4.9346009810749754E7,768210.48098002,1.0,0.0,978550.0,760318.0,107.51774014895184,12.354724366279505,1223187.5,950397.5
14.86374982631708,2.957393756793689,2.0,14.0,6.0,180493.74776004552,359077.6701289778,0.9501499338674757,0.17537231841350187,5.0,-4.9346006310749754E7,768206.98098002,1.0,0.0,978550.0,760318.0,107.51774014895184,12.354724366279505,1223187.5,950397.5
14.86374982631708,2.957393756793689,2.0,14.0,6.0,180493.74776004552,359077.6701289778,0.9501499338674757,0.17537231841350187,5.0,-4.9346001810749754E7,768202.48098002,1.0,0.0,978550.0,760318.0,107.51774014895184,12.354724366279505,1223187.5,950397.5
14.86374982631708,2.957393756793689,2.0,14.0,6.0,180493.74776004552,359077.6701289778,0.9501499338674757,0.17537231841350187,5.0,-4.9345996810749754E7,768197.48098002,1.0,0.0,978550.0,760318.0,107.51774014895184,12.354724366279505,1223187.5,950397.5
14.86374982631708,2.957393756793689,2.0,14.0,6.0,180493.74776004552,359077.6701289778,0.9501499338674757,0.17537231841350187,5.0,-4.9345992810749754E7,768193.48098002,1.0,0.0,978550.0,760318.0,107.51774014895184,12.354724366279505,1223187.5,950397.5
18.215194368693204,7.084314902701303,2.0,4.0,4.0,352621.5760207876,145658.47577441708,0.2471495723452518,0.637152546204019,10.0,-3738441.388002993,3754105.2532861982,0.0,0.0,0.0,0.0,68.8154273929151,34.80243284149153,0.0,0.0
18.215194368693204,7.084314902701303,2.0,4.0,4.0,352621.5760207876,145658.47577441708,0.2471495723452518,0.637152546204019,10.0,-3738441.388002993,3754105.2532861982,0.0,0.0,0.0,0.0,68.8154273929151,34.80243284149153,0.0,0.0
18.215194368693204,7.084314902701303,2.0,4.0,4.0,352621.5760207876,145658.47577441708,0.2471495723452518,0.637152546204019,10.0,-3738441.388002993,3754105.2532861982,0.0,0.0,0.0,0.0,68.8154273929151,34.80243284149153,0.0,0.0
18.215194368693204,7.084314902701303,2.0,4.0,4.0,352621.5760207876,145658.47577441708,0.2471495723452518,0.637152546204019,10.0,-3738441.388002993,3754105.2532861982,0.0,0.0,0.0,0.0,68.8154273929151,34.80243284149153,0.0,0.0
18.215194368693204,7.084314902701303,2.0,4.0,4.0,352621.5760207876,145658.47577441708,0.2471495723452518,0.637152546204019,10.0,-3738441.388002993,3754105.2532861982,0.0,0.0,0.0,0.0,68.8154273929151,34.80243284149153,0.0,0.0
10.994923948425958,16.70410759022301,4.0,14.0,15.0,42653.58140334688,644853.3278662155,0.5099227125294287,0.29599152713329635,4.0,-4.853489840793907E7,594040.7894431717,1.0,0.0,959490.0,596659.8520543342,34.98603461569438,52.998664503629385,1279320.0,795546.4694057789
10.994923948425958,16.70410759022301,4.0,14.0,15.0,42653.58140334688,644853.3278662155,0.5099227125294287,0.29599152713329635,4.0,-4.853488865793907E7,594040.8462332467,1.0,0.0,959490.0,596659.8520543342,34.98603461569438,52.998664503629385,1279320.0,795546.4694057789
10.994923948425958,16.70410759022301,4.0,14.0,15.0,42653.58140334688,644853.3278662155,0.5099227125294287,0.29599152713329635,4.0,-4.853487965793907E7,594039.9992506539,1.0,0.0,959490.0,596659.8520543342,34.98603461569438,52.998664503629385,1279320.0,795546.4694057789
10.994923948425958,16.70410759022301,4.0,14.0,15.0,42653.58140334688,644853.3278662155,0.5099227125294287,0.29599152713329635,4.0,-4.853487140793907E7,594040.0810553471,1.0,0.0,959490.0,596659.8520543342,34.98603461569438,52.998664503629385,1279320.0,795546.4694057789
