const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_tacticsMu,const_tacticsSigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
7.0,4.549325714892609,10.546454741184839,5.0,5.0,146581.9629530693,978165.3920405579,0.7223878174209135,0.054549946846311315,10.0,-5.0379374860699546E8,6.215754319715018E8,80.2,123.16233190387392,2.008129249E8,2.4329373809361997E8,3689658.4751477703,7379296.319466519,0.0,0.0
7.0,4.549325714892609,10.546454741184839,5.0,5.0,146581.9629530693,978165.3920405579,0.7223878174209135,0.054549946846311315,10.0,-1.2178881312069955E9,1.4357096327679133E9,80.2,115.11107679107168,2.2385365629999998E8,2.612991341991553E8,1.8448194475147773E7,3.6896368319248095E7,1386182.5,2772365.0
7.0,4.549325714892609,10.546454741184839,5.0,5.0,146581.9629530693,978165.3920405579,0.7223878174209135,0.054549946846311315,10.0,-2.0440882696069956E9,2.453050203223022E9,80.2,102.42343481840473,2.4435326670000002E8,2.9683102911029965E8,2.9517096475147773E7,5.903417231922762E7,1386182.5,2772365.0
7.0,4.549325714892609,10.546454741184839,5.0,5.0,146581.9629530693,978165.3920405579,0.7223878174209135,0.054549946846311315,10.0,-2.983248202806996E9,3.7155585941845217E9,80.2,102.42343481840473,2.4712049220000002E8,2.989872521804488E8,4.058599847514777E7,8.117197631921831E7,1.1098196E7,2.2196392E7
7.0,4.549325714892609,10.546454741184839,5.0,5.0,146581.9629530693,978165.3920405579,0.7223878174209135,0.054549946846311315,10.0,-3.9145591142069955E9,5.009669591675385E9,80.2,102.42343481840473,2.5081012620000002E8,3.0199607104194903E8,5.534453447514777E7,1.1068904831921168E8,1.1098196E7,2.2196392E7
5.0,10.48902952460871,8.438511540461114,2.0,4.0,719401.534045905,110916.797750608,0.6340536797792666,0.24895483117239825,10.0,-4.168802179337595E9,2.1912970925503693E9,364.5,211.5,1.7248784355E9,9.643229015E8,9.595337263171395,40.59331182870403,0.0,0.0
5.0,10.48902952460871,8.438511540461114,2.0,4.0,719401.534045905,110916.797750608,0.6340536797792666,0.24895483117239825,10.0,-8.941126450837595E9,3.9735637900503693E9,364.5,180.5,1.7124242865E9,8.714567385E8,3.938710559533726E7,3.938705540668817E7,5285995.0,5285995.0
5.0,10.48902952460871,8.438511540461114,2.0,4.0,719401.534045905,110916.797750608,0.6340536797792666,0.24895483117239825,10.0,-1.3693938213337593E10,5.451980616550368E9,364.5,167.5,1.7303964785E9,7.927825545E8,7.877420159533726E7,7.877415140668817E7,5285995.0,5285995.0
5.0,10.48902952460871,8.438511540461114,2.0,4.0,719401.534045905,110916.797750608,0.6340536797792666,0.24895483117239825,10.0,-1.8540600771837593E10,6.561178274050368E9,364.5,119.5,1.65405543E9,6.05122355E8,9.846774959533726E7,9.846769940668817E7,5285995.0,5285995.0
5.0,10.48902952460871,8.438511540461114,2.0,4.0,719401.534045905,110916.797750608,0.6340536797792666,0.24895483117239825,10.0,-2.3472368843337593E10,7.262835165550368E9,364.5,119.5,1.673748978E9,6.24815903E8,1.3785484559533727E8,1.3785479540668815E8,4.5911463E7,4.5911463E7
4.0,16.818757818798858,2.2531479491712925,4.0,12.0,235003.38967618867,923936.0768682916,0.6481642763922968,0.35693896719525176,11.0,-8472616.342419283,1638975.129793004,1.0,0.0,3619206.4,713734.5903904616,296689.33978857833,296135.19674061076,0.0,0.0
4.0,16.818757818798858,2.2531479491712925,4.0,12.0,235003.38967618867,923936.0768682916,0.6481642763922968,0.35693896719525176,11.0,-7641977.092419282,1497221.3927008472,1.0,0.0,2788566.9,577848.2437406816,889986.1397885783,888399.4786314318,4865165.65,927511.1773335281
4.0,16.818757818798858,2.2531479491712925,4.0,12.0,235003.38967618867,923936.0768682916,0.6481642763922968,0.35693896719525176,11.0,-6811337.842419282,1357874.199108117,1.0,0.0,1957927.4,452900.24485093844,1483282.9397885783,1480663.760579869,4865165.65,927511.1773335281
4.0,16.818757818798858,2.2531479491712925,4.0,12.0,235003.38967618867,923936.0768682916,0.6481642763922968,0.35693896719525176,11.0,-5980698.342419282,1221757.369511137,1.0,0.0,1127287.9,350780.81831164885,2076579.7397885784,2072928.0425365372,4865165.65,927511.1773335281
4.0,16.818757818798858,2.2531479491712925,4.0,12.0,235003.38967618867,923936.0768682916,0.6481642763922968,0.35693896719525176,11.0,-4853410.092419282,927404.9433950963,1.0,0.0,296648.4,296132.14098142064,2669876.5397885786,2665192.3244959493,4865165.65,927511.1773335281
17.0,10.571133630423997,19.039314801954884,2.0,8.0,134260.85225923784,893597.2051171745,0.9470493555228382,0.41002534211757435,12.0,-3.733098816398602E9,3.5847157010398083E9,386.5,93.5,1.4808902560000002E9,1.4352192680000002E9,3.934661399927153E8,3.934660351110248E8,0.0,0.0
17.0,10.571133630423997,19.039314801954884,2.0,8.0,134260.85225923784,893597.2051171745,0.9470493555228382,0.41002534211757435,12.0,-6.248652159898602E9,5.929070364539808E9,386.5,93.5,7.572796360000001E8,7.398703680000001E8,1.1803982879927118E9,1.1803981831110213E9,9.521884200000001E8,9.521884200000001E8
17.0,10.571133630423997,19.039314801954884,2.0,8.0,134260.85225923784,893597.2051171745,0.9470493555228382,0.41002534211757435,12.0,-9.322927899898602E9,8.832147424539808E9,386.5,93.5,2.207489884E9,2.12757916E9,1.5738643619926972E9,1.5738642571110067E9,9.521884200000001E8,9.521884200000001E8
17.0,10.571133630423997,19.039314801954884,2.0,8.0,134260.85225923784,893597.2051171745,0.9470493555228382,0.41002534211757435,12.0,-1.1838481247898602E10,1.1176502092539808E10,386.5,93.5,1.4808902560000002E9,1.4352192680000002E9,2.360796509992668E9,2.360796405110978E9,9.521884200000001E8,9.521884200000001E8
17.0,10.571133630423997,19.039314801954884,2.0,8.0,134260.85225923784,893597.2051171745,0.9470493555228382,0.41002534211757435,12.0,-1.4354034595898602E10,1.3520856760539808E10,386.5,93.5,7.572796360000001E8,7.398703680000001E8,3.1477286579926386E9,3.1477285531109486E9,9.521884200000001E8,9.521884200000001E8
12.0,11.01439147831189,12.04946307264223,6.0,1.0,1005136.092427688,423543.2256519532,0.5831755850971444,0.6896120117330666,18.0,-4.401458626654125E8,9.402714206067396E8,17.500000000000007,36.89512162874653,7.624072333333337E7,1.681659177743682E8,7.518513695514971E7,1.6811890547133854E8,0.0,0.0
