gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
-236094.37684709515,6.378309185000001E7,-21037.63553005205,1472859.885664968,1570074.8833333333,0.0
-236094.37684694308,1.6846238088333336E8,-22088.68643914298,1603070.3977719627,1569273.4333333333,0.0
-236094.37684733866,7.771984623333333E7,-21149.18825732479,1711412.569697331,1570074.8833333333,0.0
-236094.3768470682,1.8497786193333334E8,-21239.679166415754,1806238.8612958915,1820833.416666667,0.0
-236094.37684712763,9.266772916666669E7,-21210.515530052086,1888878.8600248503,1570074.8833333333,0.0
-236094.3768473792,1675237.4333333336,-21605.299772476355,2008922.283817932,1569273.4333333333,0.0
-236094.37684714512,1.0894355923333336E8,-21065.776136112705,2214119.1724859374,1570074.8833333333,0.0
-236094.3768470457,1.7110495033333335E7,-20629.72886338543,1795782.5389124393,1570074.8833333333,0.0
-236094.37684741692,1.2286129806666666E8,-20677.596742173308,2066349.5502651655,1570074.8833333333,0.0
-236094.37684703834,3.362677753333333E7,-20084.45492399149,2091036.4121158698,1569273.4333333333,0.0
-236094.37684740342,1.3804659858333334E8,-20735.93371187026,2187359.038628761,1569273.4333333333,0.0
-236094.3768474091,4.730406393333334E7,-20491.965227021767,2383362.723787664,1570074.8833333333,0.0
-236094.3768469972,1.5481283816666663E8,-21513.835530052118,2509870.1013576323,1570074.8833333333,0.0
-236094.37684705626,6.2979773966666676E7,-21135.825833082396,2729402.539380894,1570074.8833333333,0.0
-236094.3768472444,1.6824016748333332E8,-21014.178560355118,2887232.280286446,1569273.4333333333,0.0
-236094.3768470427,7.925560403333335E7,-20408.59674217334,2975290.437324226,1570074.8833333333,0.0
-236094.3768473787,1.8366431753333336E8,-21274.001590658147,3053297.577386971,1820833.416666667,0.0
-236094.3768472475,9.244551576666668E7,-20965.138560355153,3089006.473642033,1570074.8833333333,0.0
-236094.37684705295,3210995.2333333334,-21075.91189368848,3259890.6602732223,1569273.4333333333,0.0
-236094.376846959,1.0763081628333335E8,-21652.09007550664,3274042.9225523337,1569273.4333333333,0.0
-236094.3768472866,1.6889083083333336E7,-21362.6997724763,3385898.9842611193,1820833.416666667,0.0
-236094.37684764058,1.2439705586666667E8,-21078.595530052076,3388714.363950086,1570074.8833333333,0.0
-236094.3768471585,3.256399166666667E7,-20587.531287627884,3418656.8800105136,1570074.8833333333,0.0
-236094.37684762035,1.378243851833333E8,-20470.5943179309,3579955.2779612844,1569273.4333333333,0.0
-236094.37684725458,4.884062318333334E7,-20773.435530052113,3576189.041867748,1820833.416666667,0.0
-236094.3768474068,1.5324853523333335E8,-20177.302196718763,3690075.0779192685,1820833.416666667,0.0
8954.586553052328,0.0,67.75697211790246,53.974143514546824,0.0,1.0
-618004.6610958538,1.3046234852631578E8,-7077.989694548768,27733.11520934524,464718.2105263158,0.0
-618004.6610958748,2.316957963157895E7,-10743.86636121543,112635.70422105966,2510665.6842105263,0.0
-618004.6610958626,7.854798457894734E7,-11840.186361215428,-393876.463078066,2510665.6842105263,0.0
-618004.6610958637,1.2929618752631578E8,-13755.489694548773,-737923.4503738923,2510665.6842105263,0.0
-618004.6610958518,2.4915938263157897E7,-14015.903027882094,-413869.5391381222,2510665.6842105263,0.0
-618004.6610958554,7.784654178947367E7,-15670.859694548764,952640.7453033889,2510665.6842105263,0.0
-618004.6610958404,1.3150726436842103E8,-16324.76969454876,631593.9167684937,3523630.736842105,0.0
-618004.6610957358,2.4763765473684214E7,-16933.579694548764,929526.2492556318,3523630.736842105,0.0
-618004.6610959116,7.959290042105263E7,-17383.56969454877,430250.1034763578,3523630.736842105,0.0
-618004.6610958935,1.2987638515789473E8,-16874.336361215424,1253002.360927124,3523630.736842105,0.0
-618004.6610958999,2.6974842315789472E7,-16200.216361215429,332565.6147920996,3523630.736842105,0.0
