const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.0624441289037407E10,3.560231881752287E10,204.25,352.0393266383743,9.10972503E8,1.5752647025253856E9,4044130.1950309137,6993123.041251903,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.2139088983037407E10,3.8217145798398315E10,204.25,352.0393266383743,4.5473576850000006E8,7.876254550608791E8,4431172.695030915,7663499.905417605,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.3655034017037407E10,4.083421983794333E10,204.25,352.0393266383743,2138169.5,753734.1787807224,4733859.7783642495,8187769.038339081,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.5172232844037407E10,4.3453465510545105E10,204.25,352.0393266383743,5.3080499675000006E8,9.189502277638035E8,5026622.695030917,8694849.050820425,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.6688177878037407E10,4.607053955010718E10,204.25,352.0393266383743,7.820739775000001E7,1.3201169309942988E8,5329309.778364252,9219118.243304307,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.8204118905037407E10,4.8687606649348434E10,204.25,352.0393266383743,6.0681468E8,1.0501718671157798E9,5592300.19503092,9674630.839267353,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-2.9720063939037407E10,5.1304680688922226E10,204.25,352.0393266383743,1.54217081E8,2.6323315463180166E8,5894987.278364255,1.0198900072021008E7,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.1237262766037407E10,5.392392636154923E10,204.25,352.0393266383743,6.8288390825E8,1.181496642508876E9,6187750.195030923,1.0705980165849838E7,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.2753207800037407E10,5.654100040113177E10,204.25,352.0393266383743,2.3028630925E8,3.9455787259689784E8,6490437.278364258,1.1230249429872978E7,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.4269148827037407E10,5.915806750039054E10,204.25,352.0393266383743,7.588935915E8,1.3127182836906102E9,6753427.695030926,1.1685762079531131E7,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.57850938610374E10,6.177514153997947E10,204.25,352.0393266383743,3.0629599250000006E8,5.2577948620329404E8,7056114.778364261,1.2210031366073297E7,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.73022926880374E10,6.4394387212620316E10,204.25,352.0393266383743,8.3496281975E8,1.4440430603846061E9,7348877.695030929,1.2717111505138462E7,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.88182377220374E10,6.7011461252214294E10,204.25,352.0393266383743,3.8236522075000006E8,6.571042469608562E8,7651564.7783642635,1.3241380810090616E7,3848472.5,6665749.901531616
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-4.03341787490374E10,6.962852835148315E10,204.25,352.0393266383743,9.10972503E8,1.5752647025253856E9,7914555.195030931,1.369689349123553E7,3848472.5,6665749.901531616
