const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.261613847728929E8,2.5852633623462635E8,1.0,0.0,1212590.0,479098.1477366268,9.789504448966384E7,9.707034374557744E7,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.433331321062262E8,2.727176785111185E8,1.0,0.0,5362213.555555556,2048477.8445342965,1.0475078471188606E8,1.0354872646827E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.5688577310622624E8,2.893612575598551E8,1.0,0.0,7792736.555555556,2576886.0720325317,1.1161186793410829E8,1.1003414229895602E8,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.651475831062262E8,3.0966017566168475E8,1.0,0.0,2942376.555555556,1904337.6453120634,1.2019739471188606E8,1.1849830454421878E8,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.803719471062262E8,3.251121935120398E8,1.0,0.0,3637770.0,1437294.4432098803,1.2365162482299715E8,1.2246247878335242E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-2.975436944395596E8,3.3929420642315865E8,1.0,0.0,7787393.555555556,2573941.5116626723,1.3050736504521935E8,1.2894113514468431E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.058001617728929E8,3.596032340966428E8,1.0,0.0,2937033.555555556,1898322.5055171123,1.390928918229971E8,1.3740527778142083E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.193581457728929E8,3.7624621907365024E8,1.0,0.0,5367556.555555556,2053115.1227184767,1.4595397504521927E8,1.438907912800081E8,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.345825114395595E8,3.916992324638077E8,1.0,0.0,6062950.0,2395490.738683134,1.4940820515633038E8,1.4785473462116918E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.464634287728929E8,4.0953964125627625E8,1.0,0.0,2942376.555555556,1904337.6453120634,1.579937319341081E8,1.5631883657021028E8,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.600107261062262E8,4.2619007346015155E8,1.0,0.0,5362213.555555556,2048477.8445342965,1.6484947215633032E8,1.6279771792543152E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.7356870977289283E8,4.428332520041103E8,1.0,0.0,7792736.555555556,2576886.0720325317,1.717105553785525E8,1.692832780157986E8,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-3.905228604395596E8,4.571065532262256E8,1.0,0.0,4614100.111111111,2338782.2030426795,1.7856629560077468E8,1.757631952612701E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.040755017728929E8,4.7375308247729385E8,1.0,0.0,5367556.555555556,2053115.1227184767,1.8375031226744133E8,1.8171117612061524E8,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.1595107610622627E8,4.915976682898873E8,1.0,0.0,7787393.555555556,2573941.5116626723,1.906060524896635E8,1.881901706426831E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.2420754310622627E8,5.119234822990735E8,1.0,0.0,2937033.555555556,1898322.5055171123,1.9919157926744127E8,1.9665432350067997E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.447334237728929E8,5.236929784297827E8,1.0,0.0,7039280.111111112,1906528.1898017789,2.043228759341079E8,2.011556523655604E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.582860644395596E8,5.403396969789625E8,1.0,0.0,7792736.555555556,2576886.0720325317,2.0950689260077456E8,2.0710355176303774E8,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.6487080710622627E8,5.618613097202821E8,1.0,0.0,2942376.555555556,1904337.6453120634,2.1809241937855232E8,2.1556768279320353E8,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.784181057728929E8,5.785121582965311E8,1.0,0.0,5362213.555555556,2048477.8445342965,2.2494815960077453E8,2.2204678636864737E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-4.9894398610622627E8,5.90280061142573E8,1.0,0.0,9464460.111111112,1906850.1684888243,2.3007945626744118E8,2.2654811611229938E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.072004544395596E8,6.1061111131504E8,1.0,0.0,4614100.111111111,2338782.2030426795,2.38664983045219E8,2.3501227179850516E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.190813711062262E8,6.284500890371008E8,1.0,0.0,5367556.555555556,2053115.1227184767,2.4384899971188572E8,2.4096008904152387E8,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.326286694395596E8,6.45100969963722E8,1.0,0.0,7787393.555555556,2573941.5116626723,2.50704739934108E8,2.4743925413529742E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.46186651772893E8,6.617445216117104E8,1.0,0.0,2942376.555555556,1904337.6453120634,2.5756582315633023E8,2.5392490046843764E8,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.63140802772893E8,6.76013117470883E8,1.0,0.0,7039280.111111112,1906528.1898017789,2.6442156337855247E8,2.6040474141545907E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.766934434395596E8,6.926602200510671E8,1.0,0.0,7792736.555555556,2576886.0720325317,2.696055800452192E8,2.6635251063622794E8,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-5.832781881062263E8,7.141880422118595E8,1.0,0.0,2942376.555555556,1904337.6453120634,2.78191106822997E8,2.748166538428597E8,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.021216601062263E8,7.271505852689164E8,1.0,0.0,5367556.555555556,2053115.1227184767,2.8332240348966366E8,2.793173872042301E8,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.17351366772893E8,7.426015891376817E8,1.0,0.0,9464460.111111112,1906850.1684888243,2.901781437118859E8,2.8579721407435834E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.256078347728928E8,7.629390248333771E8,1.0,0.0,4614100.111111111,2338782.2030426795,2.987636704896637E8,2.942613721672035E8,5296172.555555556,4507157.578907736
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.37488750772893E8,7.807772509789605E8,1.0,0.0,5367556.555555556,2053115.1227184767,3.0394768715633047E8,3.002090899041014E8,5290829.555555556,4501287.943588231
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.563322224395596E8,7.937389827706677E8,1.0,0.0,7792736.555555556,2576886.0720325317,3.0907898382299715E8,3.0470987394002277E8,6967896.111111112,5338506.275788276
7.0,10.507184532144716,7.711201791787201,3.0,11.0,354279.8781849928,730920.870442074,6.0,-6.645940321062262E8,8.140718631985584E8,1.0,0.0,2942376.555555556,1904337.6453120634,3.1766451060077494E8,3.13174036185287E8,6967896.111111112,5338506.275788276
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,1496.8486644617685,0.0,0.0,0.0,0.0,0.0,46.40814461117359,0.0,0.0,0.0
