,Person.var_capitalMu,Person.var_capitalSigma,Person.var_happinessMu,Person.var_happinessSigma,Person.var_salaryMu,Person.var_salarySigma,Person.var_total_value_destroyedMu,Person.var_total_value_destroyedSigma
Person.const_consumeFlour,-0.3725905794971896,0.2071270656043709,-0.08766278575088392,-0.6452177025522476,0.36193287111431344,0.2843144806760748,0.4698263105488642,-0.37649102493074543
Person.const_consumeFuel,0.31159962990453294,0.09419485334013382,0.10814020155521856,-0.3239773536192326,-0.32016555813482006,0.28073121894667263,-0.5736797602961747,-0.09372983887577466
Person.const_consumeMu,-0.23513086539916705,0.12302878831679255,0.2607661479545403,0.33440720730095885,-0.24395589089596972,-0.23063631018823372,-0.19514997093515393,0.2885561595584162
Person.const_consumeOil,-0.39768957466878574,-0.19401716162740265,-0.23279261186182665,0.1505153911644312,-0.3904281279117814,-0.006383009752863364,0.16002066014643326,0.10358868480029727
Person.const_consumeSigma,-0.06725290514214594,-0.17447547602657515,-0.11072932768981741,0.22153834968659503,0.45034658554301543,-0.156998412630199,-0.08039380170789147,0.030048966839416335
Person.const_consumeWheat,-0.13696340978105595,0.24374093256780166,0.5189553433158614,-0.1925255307869893,0.1737570994578805,0.08943639938529406,0.07655805585566008,-0.40538917773111205
Person.const_enjoyBeefMu,0.1890216548113796,0.1505913807309863,0.3909797404591312,0.42915509495469734,-0.26374030761522754,-0.26842608189966777,-0.06772448273851352,0.07235400271419368
Person.const_enjoyBeefSigma,-0.111405379693101,0.002495220041041071,-0.2517569228884095,0.17943160982246556,0.1540633444054028,-0.1433809987806831,-0.2784671432162524,0.13455826166608262
Person.const_enjoyBreadMu,-0.19642916954309247,-0.0037749563939980363,0.08219288709419151,0.11100075496951459,-0.0811756336968695,-0.24293018753366788,0.15861822550685278,-0.15057798992911692
Person.const_enjoyBreadSigma,0.2032807363806245,-0.12320468787648314,-0.01971234590660616,-0.04671001198145582,0.1031027393011684,-0.07265649009622786,0.05618107483634231,-0.034434263371300435
Person.const_enjoyFlourMu,-0.002588704284725679,-0.023327515165364437,0.30971391060310605,-0.2575054407642276,-0.23134296493020232,-0.04964946246895871,0.05682220488417288,0.16156225733085464
Person.const_enjoyFlourSigma,-0.16336148111595417,-0.049134641120833975,0.019748454601771118,-0.01897021610567608,0.1193744765887632,-0.17390987366348074,-0.33951644453866614,-0.24682034780573742
Person.const_enjoyFuelMu,0.07187358107740394,0.19858432044559704,-0.05628061447907179,0.041542149287086015,0.005741584050825059,0.083094108781815,-0.11680430215345239,-0.13313491851913425
Person.const_enjoyFuelSigma,-0.21449548081406203,-0.011335969694113584,-0.07814997482240682,0.15961122076948697,0.05146466422957011,-0.006845801162243105,-0.059439681396921504,-0.2813681977492423
Person.const_enjoyOilMu,-0.10224980383523324,0.05672476151255224,0.1508194879962784,-0.022496617348370235,0.12295623592563126,-0.5172449681827491,0.16099318771983462,-0.0397841829382149
Person.const_enjoyOilSigma,-0.1408379354621976,-0.09484141164904696,0.005955532762789072,0.05280211667506902,0.09796563653083451,-0.0938489968949377,0.1721856873060064,-0.15776733055671374
Person.const_enjoyWheatMu,-0.034749433655048886,-0.44127738769280267,-0.18850884988047967,0.06472536094578747,0.25405917482800294,0.03853266787626238,-0.2932834225637549,-0.13478556162582767
Person.const_enjoyWheatSigma,-0.002478833022511852,0.12096137236220986,0.026583442126957797,0.2144230447224598,-0.10442110244183272,0.03151836496867998,0.05801561297530067,0.1864148908664223
Person.const_femaleActiveMu,-0.4586487440464429,-0.3103886123669568,-0.08331479394273496,-0.1117636898333932,-0.2677234940879287,-0.30462609386758477,-0.037434903249701945,0.06959244838230064
Person.const_femaleActiveSigma,0.08756199858867346,0.3000570048944092,0.03270769740167297,-0.026857653504999714,-0.24605751794076072,0.18885919829297151,-0.1465283829786661,0.31429063455758866
Person.const_femaleBonusSalMu,0.2678428602251509,-0.0014332605862583975,-0.08341363750648492,-0.1004272415830541,-0.12859798450784846,-0.02891750576613273,-0.06991501896933634,0.33279545352628803
Person.const_femaleBonusSalSigma,0.22543022409253452,-0.19910471354757758,-0.03338868167935945,0.08216801873196863,0.14201844487421986,-0.2449681597807374,-0.15500357046045005,-0.19647232414306456
Person.const_femaleEduMu,0.29340760199174076,0.18967311506395895,-0.08597978248348864,-0.2336525274218587,-0.30640747474962576,0.03520708861431984,-0.24179281327101454,0.29451128166038887
Person.const_femaleEduSigma,0.09456190862496872,0.002716291247712552,-0.35173092194246475,0.003880655603205509,-0.23009943462391524,-0.07463033003949339,0.016573726940153573,0.1364167420448209
Person.const_genderMu,0.1237201303989043,0.1850219484648764,-0.19719654291585037,0.3316904441725308,0.23920648303079678,0.11994913464186714,0.18215838016803082,0.08738901073500738
Person.const_genderSigma,0.00315700144382026,0.23428628992222664,-0.10379895404513967,0.03350917083510937,-0.07265329570531429,-0.05118307691548107,-0.07824434878279025,0.31847174095899955
Person.const_maleActiveMu,-0.11241654143105588,-0.20884111167160185,-0.14774217645672344,0.05746018233004044,-0.1428802666605577,0.05279138469811602,-0.05328943755707953,-0.0713962920778113
Person.const_maleActiveSigma,0.32009342655657125,-0.30757968860015,-0.22480864026449032,0.25080074930591423,0.15865663243932704,0.037608419389918324,0.1243265810759526,0.048291830833493296
Person.const_maleBonusSalMu,0.007318092042652652,0.06364425191938616,0.20860967470038777,0.1329457399704006,0.24573085614238632,-0.21037385882062593,0.002151002428889771,0.0009088278074616746
Person.const_maleBonusSalSigma,0.09032261062913419,-0.13493721737885686,-0.10401986466828757,0.1638106351180644,0.3514517022282594,0.05256543064881339,-0.008265455643115252,-0.19411645447274828
Person.const_maleEduMu,-0.05645221929113525,-0.17102118039316355,0.10571689095256998,-0.19913915520382242,0.23461799968013328,-0.15630099965173275,-0.11905184041722332,-0.2638859264864674
Person.const_maleEduSigma,0.2147279038989885,0.209576393983597,-0.10744193669442105,-0.0035720455450390523,0.11943720103492542,0.024628870454582463,-0.00460810082646341,-0.009385402291646631
Person.const_number,0.006842922322194974,0.14595579199915906,-0.09090936110038571,0.10338024868806199,0.10259236665070086,0.019186175027342583,-0.026193219849703856,0.1328172430219198
Person.var_capitalMu,0.8602324292304463,0.30867837426923184,0.3723296756405702,0.17309710755032384,-0.08577817431046121,-0.09615859070008675,-0.12483348612157534,-0.10620402339850624
Person.var_capitalSigma,0.14269286562396616,0.6735711304365128,0.08274945099498246,0.15795715365368648,0.29091663651254723,0.2884925386808594,0.4749321395348469,0.43822418306605565
Person.var_happinessMu,0.08152393093134862,0.03642294603359782,0.876932099765979,0.27391675633046775,-0.09230770733022373,-0.19908781857222624,0.31280913339524136,-0.1787983612646687
