,Mill.var_capitalMu,Mill.var_capitalSigma,Mill.var_employeesMu,Mill.var_employeesSigma,Mill.var_goodwillMu,Mill.var_goodwillSigma,Mill.var_total_value_destroyedMu,Mill.var_total_value_destroyedSigma,Mill.var_valueProducedMu,Mill.var_valueProducedSigma
Mill.var_goodwillSigma,0.30542871196291843,0.14918849344786975,-0.13816987675694525,0.3578825169048373,0.17263543412618118,0.04868551971206634,0.041865979245568535,-0.05421894297318072,-0.08426684680904101,0.046242796634790605
Mill.var_total_value_destroyedMu,-0.029745308819174948,-0.04036496832407437,-0.20851149393601054,0.006398280233319263,-0.06750367881010814,0.03112306385039621,0.8649603504290613,0.763585690641162,0.09587043376599051,0.210813880545689
Mill.var_total_value_destroyedSigma,-0.02191382261842664,-0.08510649610836188,-0.05454951810181685,-0.05511485731169337,0.34719439332774815,0.3680001153360893,0.6061084433280111,0.779585599652201,0.3644976174435112,0.31393447605642255
Mill.var_valueProducedMu,-0.018147097985595093,0.1497510268055857,-0.02961325032391413,-0.08226282851672771,0.20523224849109886,-0.16266744381532713,0.04865689655180785,0.0016431697545154647,0.7873070606712397,0.7291547301296585
Mill.var_valueProducedSigma,-0.03513320754701153,0.062283260847624616,0.2188874379283547,-0.03531931875568518,-0.031069441112805428,0.30660623993173797,0.13753256092805838,0.14712070144156628,0.5334885666834778,0.7401446933186089
Person.var_capitalMu,-0.11160687532783618,0.2602710649894932,-0.014473101409798333,-0.05215126754156006,-0.14158847620502002,0.002930354705315338,0.07933506964084425,0.05863283635130724,-0.04766070338117845,-0.15304235785399548
Person.var_capitalSigma,-0.00865304307378635,-0.004891576782392986,-0.05231095907275014,-0.12743255766592232,-0.29806250460010764,-0.21282503581443946,0.22181401557243283,-0.003911258606794416,-0.0774487396698328,-0.054315785429564174
Person.var_happinessMu,0.06575701081969511,-0.0848280117507987,-0.03820242519066569,-0.03197437551676417,-0.011603110629040457,-0.08452488597509929,0.0018424438750681588,-0.03806763543213091,0.03876266830927273,-0.01091441823388913
Person.var_happinessSigma,0.04380361222298677,-0.07825646255483865,-0.05319954454488243,-0.09003107855453991,-0.032024624474783964,-0.05770015672822519,-0.017689631657550737,-0.02810954662187585,-0.015142429765799732,-0.02580505987194509
Person.var_salaryMu,-0.011583023579814063,-0.038341971318157864,-0.11911027556569607,-0.0815984766364595,0.3622415278777751,0.21400275290744,-0.047779427095385595,-0.07811904649382499,0.07145642083838648,0.08578672601950633
Person.var_salarySigma,0.09981344503522915,0.02357429341638082,-0.009188379423189497,-0.041893736750757804,-0.0497291034807265,0.007171872949243505,0.0044148999759897126,0.01396458322446591,0.023766251765747492,-0.047421617763905854
Person.var_total_value_destroyedMu,0.04904504278049007,0.0778769410539885,-0.12360909608738624,0.22108114251257585,0.02254611846164183,0.09179100625073587,0.12068402391078982,0.08173796759116049,0.04141187082667388,0.043850514085705845
Person.var_total_value_destroyedSigma,-0.09899119153481231,-0.016670943171072306,-0.1068064822608387,-0.04987402707699475,0.1741936596365717,-0.022436545843234797,-0.031313151253867876,-0.010656071265962515,0.15144087157793523,0.10818191449718477
