const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.8727333773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-1.9397429773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.0067525773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.0737621773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.1407717773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.2077813773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.2747909773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.3418005773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.4088101773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.4758197773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.5428293773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.6098389773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.6768485773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.7438581773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.8108677773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.8778773773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-2.9448869773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-3.0118965773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-3.0789061773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-3.1459157773173183E8,1.0,1005144.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-3.2129253773173183E8,1.0,3685528.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-3.2799349773173183E8,1.0,2345336.0,456.8709514972724,0.0
5.0,19.115296054865677,5.987140853033317,4.0,14.0,482323.9657789003,381609.1130267829,12.0,-3.3469445773173183E8,1.0,1005144.0,456.8709514972724,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-2.34215306398395E7,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-4.808814397317283E7,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-7.275475730650616E7,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-9.74213706398395E7,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-1.2208798397317284E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-1.4675459730650616E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-1.714212106398395E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-1.9608782397317284E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-2.2075443730650616E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-2.454210506398395E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-2.7008766397317284E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-2.9475427730650616E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-3.1942089063983953E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-3.4408750397317284E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-3.6875411730650616E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-3.9342073063983953E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-4.1808734397317284E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-4.4275395730650616E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-4.6742057063983953E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-4.9208718397317284E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-5.1675379730650616E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-5.414204106398395E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-5.660870239731729E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-5.907536373065062E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-6.154202506398395E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-6.400868639731729E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-6.647534773065062E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-6.894200906398396E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-7.140867039731729E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-7.387533173065062E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-7.634199306398395E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-7.880865439731729E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-8.127531573065062E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-8.374197706398395E8,1.0,1233330.6666666665,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-8.620863839731729E8,1.0,3699992.0,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-8.867529973065062E8,1.0,6166653.333333334,579.3735109685449,0.0
4.0,3.604724681496496,14.973067972312158,3.0,19.0,801473.4679548725,919221.1403900044,6.0,-9.114196106398395E8,1.0,1233330.6666666665,579.3735109685449,0.0
