gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu
-1376479.94644223,11356583.3166667,-10215.768,23792175.4829005,1782461.13333333
-1127934.53351024,101928646.785714,54.0010449788994,51.3983545994676,3101364.64285714
-1127934.53351026,23404608.1428571,54.0010449788994,490662.754286803,9497188.92857143
-1127934.53351024,67195411.2857143,166.645216758041,2650382.72321335,16211553.5
-1127934.53351026,104397576.285714,250.240308782581,3815217.02876891,16211553.5
-1127934.53351025,25046507.0714286,277.136014304053,4580340.79496476,14054732
-1127934.53351025,65735945.5714286,352.982640070924,6314387.38988002,17157803
-1127934.53351021,106026855.714286,465.571597126138,8057327.02547324,17157803
-1127934.53351016,23587041.3571429,519.547057248838,9367736.73443208,17364560.6428571
-1127934.53351022,67377844.5,620.774051113869,11425497.9082416,17852995.1428571
-1127934.53351027,106854343.571429,699.731106328593,12787524.6215184,17852995.1428571
-1127934.53351027,25228940.2857143,805.583867064789,14335017.590445,17852995.1428571
-1127934.53351023,65918378.7857143,882.792456021845,15613460.6243433,17157803
-1127934.53351023,107036319.5,902.57159712614,16728036.9935927,17157803
-1127934.53351042,23769474.5714286,1040.70043148197,18686780.4040043,14054732
-1127934.53351032,67560277.7142857,1133.58386706479,20598764.5353602,17852995.1428571
-1127934.53351039,107036776.785714,1191.36914313841,21827229.7246258,17852995.1428571
-1127934.53351036,25411373.5,1242.55319221816,22941334.8145505,17852995.1428571
-1127934.53351019,66100812,1309.43662780098,24187304.929428,17157803
-1127934.53351015,107218752.714286,1416.86607565374,25964859.2454087,17157803
-1127934.53351014,23951907.7857143,1513.60840694209,27619102.5463772,14054732
-1127934.53351012,67742710.9285714,1628.78018608319,29635737.8104866,17852995.1428571
-1127934.5335103,107219210,1668.29552350651,30699403.4317821,17852995.1428571
-1127934.53351028,19391077.4285714,1734.08693454945,31973022.4115373,17852995.1428571
-1127934.53351014,66283245.2142857,1843.1973639973,33538450.2401625,17852995.1428571
