const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-9.83425829532743E7,1.0,1672336.5,4.9220280848990804E8,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.074621959532743E8,1.0,1672336.5,5.369044884899081E8,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.280719004532743E8,1.0,1.3162428E7,5.930962599899081E8,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.578983624532743E8,1.0,1672336.5,6.377979399899081E8,2.18600135E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.325912514532743E8,1.0,1672336.5,7.157802984899081E8,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.415103784532743E8,1.0,1672336.5,7.605510684899081E8,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.504295054532743E8,1.0,1672336.5,8.053218384899081E8,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.595491189532743E8,1.0,1672336.5,8.500235184899081E8,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.801588234532743E8,1.0,1.3162428E7,9.062152899899081E8,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.099852849532743E8,1.0,1672336.5,9.509169699899081E8,2.18600135E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.846781754532743E8,1.0,1672336.5,1.0288993284899081E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-1.935973014532743E8,1.0,1672336.5,1.0736700984899081E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.472871974532743E8,1.0,1672336.5,1.118440868489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.114355544532743E8,1.0,1672336.5,1.163211638489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.320452584532743E8,1.0,1.3162428E7,1.219403409989908E9,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.618717204532743E8,1.0,1672336.5,1.264105089989908E9,2.18600135E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.367650924532743E8,1.0,1672336.5,1.342018358489908E9,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.456842189532743E8,1.0,1672336.5,1.386789128489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.993741159532743E8,1.0,1672336.5,1.431559898489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.635224734532743E8,1.0,1672336.5,1.476330668489908E9,4.7000552E7
