const_itersMu,const_itersSigma,const_number,const_produced,const_required,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
17.960223324817207,11.4045336820528,1.0,6.0,11.0,153585.24627586416,629157.6450645019,2.0,-1.1016209813752045E8,1.0,172351.0,568.8426133586935,344702.0
