const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-3.98652063E9,29.25,8.49655595E7,1.4549924553708449E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-4.22616097375E9,29.25,1.4540875249999998E7,1.542604213704178E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-4.4658011195E9,29.25,9.71368785E7,1.6187259053708443E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-4.70544146325E9,29.25,2.671219425E7,1.7063376637041774E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-4.94657996975E9,29.25,1.094805485E8,1.7910769053708445E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-5.1862203135E9,29.25,3.905586424999999E7,1.8786886637041785E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-5.42586045925E9,29.25,1.216518675E8,1.9548103553708456E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-5.665500803E9,29.25,5.122718324999999E7,2.0424221137041796E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-5.9066393095E9,29.25,1.339955375E8,2.1271613553708468E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-6.14627965325E9,29.25,6.357085324999999E7,2.2147731137041807E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-6.385919799E9,29.25,1.4616685649999997E8,2.290894805370848E7,4747053.25
