,Bakery.const_consumed,Bakery.const_itersMu,Bakery.const_itersSigma,Bakery.const_number,Bakery.const_produced,Bakery.const_salaryMu,Bakery.const_salarySigma,Bakery.const_time,Bakery.var_capitalMu,Bakery.var_employeesMu,Bakery.var_goodwillMu,Bakery.var_total_value_destroyedMu,Bakery.var_valueProducedMu
41,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-3599477800.0,33.792114,47421412.0,-1747002400.0,-15686704.0
42,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-3908310000.0,36.121998,49147236.0,-1761200600.0,-16535992.0
43,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4154849300.0,38.11511,50912980.0,-1768186100.0,-16867612.0
44,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4342001000.0,39.504375,52682976.0,-1774644000.0,-16984252.0
45,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4468439000.0,40.41613,54055464.0,-1785510700.0,-16989776.0
46,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4518342000.0,41.18515,55734404.0,-1789922000.0,-16452048.0
47,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4543474000.0,41.759575,57109600.0,-1791886100.0,-15676764.0
48,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4607020000.0,42.462765,58270372.0,-1776119000.0,-15018016.0
49,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4682541600.0,43.28558,59669500.0,-1743073500.0,-14460472.0
50,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4765858000.0,44.26201,61387556.0,-1700565200.0,-13887260.0
51,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4832786400.0,45.595387,63783516.0,-1659735300.0,-12888120.0
52,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4881775600.0,47.16411,66686764.0,-1629437200.0,-11450152.0
53,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4932749000.0,48.883247,69527090.0,-1583869700.0,-9739532.0
54,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4957200400.0,50.303627,72872900.0,-1561143600.0,-6792184.0
55,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4942343700.0,51.304295,75811820.0,-1541424100.0,-3415694.0
56,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4988791300.0,51.79467,78544170.0,-1471765800.0,716610.0
57,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-5027541500.0,51.738377,81860790.0,-1362342900.0,5743882.0
58,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-5019945000.0,51.19786,85965940.0,-1207386400.0,12439158.0
59,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4962373600.0,50.260624,90920770.0,-1028610370.0,21267512.0
60,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4809267000.0,49.291977,97108120.0,-812726700.0,32274476.0
61,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4468699600.0,48.243134,104662136.0,-521258700.0,45054496.0
62,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-4088852500.0,47.304855,116316050.0,-125334530.0,59121970.0
63,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-3581923800.0,46.905914,129611656.0,360747680.0,74686560.0
64,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2975190500.0,46.90886,144767250.0,882072800.0,93620170.0
65,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-2264217600.0,47.82333,155706980.0,1398884600.0,117821496.0
66,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-1586611700.0,48.53873,163358820.0,1814734800.0,144036180.0
67,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-1106775400.0,48.97258,170129630.0,2174246700.0,168493380.0
68,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-886747300.0,49.420376,178700320.0,2437145600.0,186587650.0
69,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-812717300.0,49.646183,187908450.0,2677762300.0,200429150.0
70,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-776648450.0,50.06678,196997700.0,2909268000.0,211811420.0
71,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-754255900.0,50.681858,205949700.0,3134074000.0,222195200.0
72,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-606595400.0,51.542183,215177220.0,3274515700.0,232330690.0
73,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-424971200.0,52.289623,223711140.0,3352842800.0,243462240.0
74,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,-204153090.0,52.864124,232223840.0,3393038600.0,255727580.0
75,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,68883970.0,53.29146,240946110.0,3394555600.0,268960130.0
76,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,381167500.0,53.589252,249591580.0,3363515000.0,283073950.0
77,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,774990200.0,53.99724,256509340.0,3375788500.0,297324300.0
78,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,1196663700.0,54.527576,263165820.0,3416426200.0,312136900.0
79,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,1598884000.0,55.156975,270737000.0,3459281700.0,326923800.0
80,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,1962809200.0,55.894157,279100300.0,3498591700.0,341278600.0
81,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,2304944600.0,56.744804,287811780.0,3542700000.0,355370430.0
82,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,2624072200.0,57.84849,296953300.0,3584844800.0,368594140.0
83,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,2888902700.0,59.177814,306134900.0,3614464300.0,381173100.0
84,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,3111051800.0,60.643116,315471170.0,3660036600.0,393567040.0
85,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,3324648400.0,62.210747,325320900.0,3719787300.0,406068350.0
86,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,3537655300.0,63.848495,335542530.0,3789800000.0,418857730.0
87,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,3735423000.0,65.65904,346872600.0,3870831000.0,432528320.0
88,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,3910329900.0,67.64517,358559870.0,3964932600.0,446471580.0
89,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,4076878800.0,69.77346,370900200.0,4071421700.0,460803940.0
90,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,4237952000.0,71.95483,383829660.0,4186176500.0,475304200.0
91,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,4394899500.0,74.092926,397075400.0,4305985500.0,489684000.0
92,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,4552296400.0,76.2392,410573200.0,4434048000.0,504164640.0
93,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,4712164400.0,78.429886,424510500.0,4570709000.0,518926100.0
94,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,4867515400.0,80.54279,438722020.0,4701718500.0,534188380.0
95,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,5042563600.0,82.31764,452797570.0,4827835000.0,549637950.0
96,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,5225387500.0,83.9564,466951070.0,4954609700.0,565307140.0
97,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,5407972400.0,85.48109,481255700.0,5083158000.0,581538500.0
98,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,5590077000.0,86.880035,495727040.0,5217139000.0,598443900.0
99,5.0,10.0,1.0,1.0000000000000002,10.0,2800000.0,200.0,1.0,5781923000.0,88.22888,510559600.0,5362243000.0,615748600.0
