,Mill.const_consumed,Mill.const_itersMu,Mill.const_itersSigma,Mill.const_number,Mill.const_produced,Mill.const_salaryMu,Mill.const_salarySigma,Mill.const_time,Mill.var_capitalMu,Mill.var_employeesMu,Mill.var_goodwillMu,Mill.var_total_value_destroyedMu,Mill.var_valueProducedMu
45,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,1329274900.0,96.63764,785218240.0,-284899100.0,137554880.0
46,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,2943889400.0,99.887146,810365900.0,-312495580.0,141779340.0
47,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,3614533600.0,102.73042,844233340.0,-334324060.0,144467800.0
48,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,4473536500.0,104.93372,872672830.0,-353082270.0,146483940.0
49,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,5437247500.0,106.54097,901888200.0,-371369570.0,148801680.0
50,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,6399848400.0,107.83423,932115800.0,-390245540.0,151420580.0
51,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,7270181000.0,109.61746,971514050.0,-412919070.0,155067340.0
52,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,8027101000.0,112.12894,1016254900.0,-436661100.0,159474610.0
53,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,8475339000.0,115.751366,1065731200.0,-462580130.0,165092910.0
54,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,8266946600.0,121.15644,1121843700.0,-481073120.0,172514340.0
55,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,7289241600.0,127.83571,1193829100.0,-494809380.0,181613440.0
56,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,5695906000.0,135.64499,1278502400.0,-504888540.0,192015220.0
57,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,3577137200.0,143.77963,1373024300.0,-516151970.0,202878350.0
58,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,1005679600.0,151.59975,1476707500.0,-540017400.0,217555310.0
59,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-1857352700.0,159.56668,1586886100.0,-569084700.0,232858160.0
60,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-3341510700.0,168.28433,1690805500.0,-598398200.0,247117900.0
61,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-4716793000.0,177.48694,1795640600.0,-637406850.0,259311490.0
62,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-5740313600.0,186.85541,1894351700.0,-682557440.0,269539330.0
63,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-6313976000.0,195.6832,1987243900.0,-736496100.0,279268600.0
64,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-6805546500.0,204.0781,2075190300.0,-789677440.0,288349700.0
65,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-6943274500.0,211.8778,2158529000.0,-842092800.0,297415360.0
66,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-6254754000.0,218.65558,2233453800.0,-892993900.0,307417660.0
67,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-4523669500.0,224.42905,2304342500.0,-947768700.0,320001440.0
68,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,-2221211600.0,229.49634,2380688600.0,-1005910140.0,335685200.0
69,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,601319400.0,234.91968,2458739700.0,-1064649100.0,354315800.0
70,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,3539353600.0,240.92233,2545378300.0,-1127045100.0,375493630.0
71,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,6402099000.0,247.7062,2641114400.0,-1194519700.0,398724260.0
72,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,9183439000.0,255.48764,2744001300.0,-1267617400.0,423620300.0
73,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,11992650000.0,264.18387,2855300900.0,-1346114800.0,449968930.0
74,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,14492199000.0,273.56546,2961844700.0,-1437212200.0,476512450.0
75,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,17113442000.0,283.81604,3072736800.0,-1537063200.0,502683870.0
76,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,20021336000.0,294.7887,3190015700.0,-1641913000.0,528176130.0
77,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,23323540000.0,306.0541,3315167700.0,-1750516400.0,552913150.0
