,OilField.const_itersMu,OilField.const_itersSigma,OilField.const_number,OilField.const_produced,OilField.const_required,OilField.const_salaryMu,OilField.const_salarySigma,OilField.const_time,OilField.var_capitalMu,OilField.var_employeesMu,OilField.var_goodwillMu,OilField.var_total_value_destroyedMu,OilField.var_valueProducedMu
47,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,7170293.0,0.06760086,26741.41,1241.2284,40611.67
48,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,7119060.0,0.068031296,26302.098,1222.7114,41751.062
49,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,6982740.0,0.06928146,26318.367,1213.4901,42902.465
50,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,6772965.0,0.070878156,26662.3,1210.1544,43512.77
51,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,6534483.0,0.072538614,27252.465,1213.5471,43622.684
52,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,6242749.0,0.0746554,28031.223,1222.0544,43731.473
53,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,5987258.0,0.0769168,28376.93,1236.7994,43645.617
54,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,5731708.0,0.07955149,28870.14,1254.0231,43468.734
55,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,5438613.0,0.0820382,30087.992,1276.7826,43882.35
56,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,5124362.0,0.0846862,31842.258,1304.1975,44664.55
57,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,4756100.0,0.088367805,33757.484,1335.5205,45739.77
58,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,4354669.0,0.09266291,35513.363,1366.6758,47376.33
59,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3861404.8,0.096326426,36725.78,1395.9017,50497.65
60,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,3371325.8,0.10007114,37831.746,1424.1875,52859.94
61,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2915592.8,0.10368237,38682.23,1449.6233,55041.195
62,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2554007.8,0.105805695,39768.805,1472.5165,56739.44
63,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2284292.2,0.10634782,40420.07,1491.1499,58077.363
64,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,2076567.8,0.1058188,40744.617,1505.2122,59126.45
65,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,1939966.2,0.104657866,41041.52,1515.1704,59739.54
66,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,1896040.5,0.10297988,41187.383,1519.7483,60311.43
67,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,1767153.2,0.100588,41408.02,1516.4098,60849.28
68,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,1512046.5,0.097904965,41959.848,1514.0173,60773.234
69,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,1233977.0,0.09541868,42989.215,1507.8597,59963.395
70,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,948608.5,0.09288049,43938.547,1500.271,59521.918
71,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,636815.25,0.09093818,45388.24,1493.743,59247.688
72,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,293860.25,0.08951402,47209.625,1491.2212,59237.254
73,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-82079.75,0.08836443,49159.273,1491.574,59403.906
74,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-475441.88,0.08728952,51117.633,1493.7019,59726.492
75,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-889237.4,0.08630148,53132.324,1497.3687,60140.473
76,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-1329827.8,0.0856091,55204.418,1502.1045,60729.938
77,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-1787093.0,0.08491694,57326.668,1507.4222,61396.23
78,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-2254950.2,0.084180616,59472.24,1513.1284,62139.445
79,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-2766879.0,0.08359405,61509.516,1520.7903,62983.992
80,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-3431964.5,0.08350668,63087.45,1532.0786,64231.81
81,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-4211670.0,0.08399344,64602.734,1544.9846,66145.06
82,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-5073291.0,0.08474831,66402.96,1559.4597,67588.664
83,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-6008943.5,0.085679755,68409.67,1574.9243,68730.87
84,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-6941916.0,0.086488865,70478.68,1589.2275,69726.09
85,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-7745199.0,0.086075,72425.39,1599.9507,69762.1
86,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-8454787.0,0.0852192,74206.11,1608.1809,69376.8
87,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-8966350.0,0.084077075,75982.73,1610.633,68244.54
88,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-9366093.0,0.08226926,78028.195,1603.4053,66544.03
89,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-9656786.0,0.079555154,80255.08,1590.363,63910.82
90,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-9886427.0,0.076278836,82555.445,1573.2717,60613.098
91,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-10079330.0,0.07256918,84882.23,1553.0466,56910.1
92,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-10261785.0,0.06856124,87255.25,1530.7549,53011.664
93,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-10445583.0,0.06434019,89703.21,1507.05,48950.254
94,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-10637516.0,0.059956014,92246.11,1482.3042,44746.555
95,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-10845047.0,0.05558079,94928.164,1455.415,40463.066
96,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-10976937.0,0.051208872,98187.32,1425.792,36288.51
97,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-11051694.0,0.046593532,101934.66,1393.4878,31958.238
98,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-11111159.0,0.041737482,105865.01,1359.2134,27367.879
99,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,1.0,-11150522.0,0.036549844,109981.266,1323.4572,22381.996
