,Farm.const_itersMu,Farm.const_itersSigma,Farm.const_number,Farm.const_produced,Farm.const_required,Farm.const_salaryMu,Farm.const_salarySigma,Farm.const_time,Farm.var_capitalMu,Farm.var_employeesMu,Farm.var_goodwillMu,Farm.var_total_value_destroyedMu,Farm.var_valueProducedMu
46,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,26375284.0,1.5613998,13951472.0,-512.7373,33385372.0
47,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,26925260.0,1.574153,13909695.0,-474.1206,33191068.0
48,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,27501028.0,1.5822557,13791516.0,-434.71088,32720514.0
49,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,28085468.0,1.5869098,13599055.0,-395.52716,31993744.0
50,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,28733852.0,1.5932231,13345622.0,-353.724,31061716.0
51,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,28958012.0,1.6118046,12896964.0,-295.09613,29826170.0
52,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,28099356.0,1.6389314,12272420.0,-223.78961,28110874.0
53,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,27421644.0,1.6603765,11393004.0,-146.85687,25990746.0
54,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,27695908.0,1.6778483,10419671.0,-70.30585,23675808.0
55,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,27996988.0,1.680059,9182179.0,17.677856,20937914.0
56,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,28529980.0,1.6669041,7746641.0,104.90286,17997198.0
57,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,29138060.0,1.6227621,6704878.0,178.37527,15631094.0
58,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,30896820.0,1.5637338,5730880.0,256.73352,13574876.0
59,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,33750148.0,1.481106,4889964.5,347.4174,11871867.0
60,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,36158652.0,1.4065063,4088671.8,423.9074,10197110.0
61,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,37813020.0,1.3229091,3300718.0,489.74426,8465332.0
62,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,39683604.0,1.2283831,2429442.0,542.56464,6807398.0
63,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,41893340.0,1.1564199,1555528.5,582.47284,5605084.0
