,Refinery.const_consumed,Refinery.const_itersMu,Refinery.const_itersSigma,Refinery.const_number,Refinery.const_produced,Refinery.const_salaryMu,Refinery.const_salarySigma,Refinery.const_time,Refinery.var_capitalMu,Refinery.var_employeesMu,Refinery.var_goodwillMu,Refinery.var_total_value_destroyedMu,Refinery.var_valueProducedMu
45,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,109494460.0,4.090266,9051695.0,-3666.1484,210589.73
46,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,124429630.0,3.9194617,9078160.0,5385.8555,242404.94
47,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,151484100.0,3.776967,8964400.0,16797.14,269133.12
48,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,184856480.0,3.6299815,8812996.0,28611.074,302904.06
49,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,220183900.0,3.5005784,8755660.0,40470.453,355976.34
50,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,271246880.0,3.330191,8538508.0,50232.875,430069.88
51,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,319063200.0,3.1415434,8309488.0,59820.117,509945.1
52,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,358356960.0,2.967172,8261175.0,62817.29,588379.6
53,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,400770720.0,2.8125753,8188366.0,63410.273,660727.75
54,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,444057180.0,2.665997,8157199.0,61778.25,728553.44
55,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,488501980.0,2.542201,8173903.5,65704.81,815651.2
56,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,521790820.0,2.3803532,8138757.5,85181.07,898245.1
57,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,549099140.0,2.1655626,7924015.0,119902.266,972900.0
58,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,581787400.0,1.9311534,7607023.0,167481.17,1085204.5
59,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,609218700.0,1.768367,7402432.0,220060.31,1197136.8
60,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,639168400.0,1.6747382,7343271.0,275373.06,1293889.8
61,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,677669760.0,1.6414255,7328972.0,332195.5,1392267.5
62,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,716551700.0,1.6526175,7365105.0,388297.0,1497954.0
63,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,772586750.0,1.6671088,7339389.0,438073.78,1569681.0
64,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,846306700.0,1.6728148,7173356.5,482921.8,1615701.5
65,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,940973200.0,1.6656097,6932821.0,529460.3,1660570.8
66,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1019928300.0,1.6319691,6667358.0,571616.9,1694249.5
67,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1102221000.0,1.6085024,6386890.5,609523.5,1726740.5
