,Person.const_buyBeef,Person.const_buyBread,Person.const_buyFlour,Person.const_buyFuel,Person.const_buyLand,Person.const_buyMu,Person.const_buyOil,Person.const_buySigma,Person.const_buyWheat,Person.const_consumeBeef,Person.const_consumeBread,Person.const_consumeFlour,Person.const_consumeFuel,Person.const_consumeMu,Person.const_consumeOil,Person.const_consumeSigma,Person.const_consumeWheat,Person.const_enjoyBeefMu,Person.const_enjoyBeefSigma,Person.const_enjoyBreadMu,Person.const_enjoyBreadSigma,Person.const_enjoyFlourMu,Person.const_enjoyFlourSigma,Person.const_enjoyFuelMu,Person.const_enjoyFuelSigma,Person.const_enjoyOilMu,Person.const_enjoyOilSigma,Person.const_enjoyWheatMu,Person.const_enjoyWheatSigma,Person.const_femaleBonusSalMu,Person.const_femaleBonusSalSigma,Person.const_femaleEduMu,Person.const_femaleEduSigma,Person.const_genderMu,Person.const_genderSigma,Person.const_maleBonusSalMu,Person.const_maleBonusSalSigma,Person.const_maleEduMu,Person.const_maleEduSigma,Person.const_number,Person.var_capitalMu,Person.var_happinessMu,Person.var_salaryMu,Person.var_total_value_destroyedMu
13,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,2705921000.0,114481.84,1957149.0,219610240.0
14,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,2602173700.0,124048.16,1965927.8,233194580.0
15,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,2459117600.0,132643.89,1962975.2,243171870.0
16,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,2260033500.0,139913.53,1940499.2,250804530.0
17,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,1988621000.0,144531.14,1897199.2,257548130.0
18,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,1639572700.0,147553.44,1818789.2,268111860.0
19,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,1319952600.0,147508.64,1817074.8,270777020.0
20,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,1112967400.0,142258.75,1818000.0,263729740.0
21,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,951071550.0,136079.75,1790096.8,250625500.0
22,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,833221100.0,132084.3,1752545.5,231436600.0
