,mean,sd
Person.var_capitalMu,202995382.6657722,195852110.71608055
Person.var_capitalSigma,134127852.06217834,118581575.74086791
Person.var_happinessMu,16917.094282601865,42412.10090760716
Person.var_happinessSigma,39715.9799230575,55131.49555569594
Person.var_salaryMu,652012.1466918121,347131.4178235746
Person.var_salarySigma,294489.19752935413,191256.89323511408
Person.var_total_value_destroyedMu,38437377.30223286,66780442.251277804
Person.var_total_value_destroyedSigma,51716478.479019836,64812186.28133149
