,mean,sd
OilField.var_capitalMu,-54851666.02477073,46453461.117158346
OilField.var_capitalSigma,3426541.3211381864,13792601.187792646
OilField.var_employeesMu,0.8958300000000028,0.3007178034960093
OilField.var_employeesSigma,0.02409370122301973,0.10063309080599918
OilField.var_goodwillMu,3031792.8314000103,3530925.574622466
OilField.var_goodwillSigma,1307565.7876284795,1805233.551782516
OilField.var_total_value_destroyedMu,45.556902050878406,41.63825365959404
OilField.var_total_value_destroyedSigma,35.210037717054654,28.270361773863197
OilField.var_valueProducedMu,5736854.636890035,5367150.570711844
OilField.var_valueProducedSigma,2491215.6818346716,2863870.8172461595
