,mean,sd
Bakery.const_consumed,10.224,5.440932341883119
Bakery.const_itersMu,9.685529910617028,5.868014464079327
Bakery.const_itersSigma,10.209996979678442,5.508320294342525
Bakery.const_number,3.936,1.3550908656805403
Bakery.const_produced,10.368,5.190564939664912
Bakery.const_salaryMu,509440.87201859214,286684.3566762434
Bakery.const_salarySigma,487463.10844949377,267347.516339264
Bakery.const_tacticsMu,0.5652393293917696,0.29993674828309325
Bakery.const_tacticsSigma,0.5083084401799755,0.27303539262456117
Bakery.const_time,10.016,5.496706901168239
