,mean,sd
Refinery.var_capitalMu,-3077501919.736623,11354797482.687523
Refinery.var_capitalSigma,2576166509.9794307,8835930755.780062
Refinery.var_employeesMu,13.709493333333237,37.99240766165026
Refinery.var_employeesSigma,8.904567319759957,25.148480814704453
Refinery.var_goodwillMu,48320522.92999079,178922568.66855815
Refinery.var_goodwillSigma,40533025.42285433,150381144.74550018
Refinery.var_total_value_destroyedMu,136456438.90936077,203953877.87310815
Refinery.var_total_value_destroyedSigma,123251362.68177578,239131518.2193906
Refinery.var_valueProducedMu,14652680.538080804,22338420.83987827
Refinery.var_valueProducedSigma,14661146.911593445,36303601.30871613
