,mean,sd
Mill.var_capitalMu,-20387815146.896057,33439103370.927074
Mill.var_capitalSigma,23928731770.388504,39897309846.6127
Mill.var_employeesMu,82.79969666666588,76.23469983303457
Mill.var_employeesSigma,90.28397610642735,98.65610611125544
Mill.var_goodwillMu,342749230.53511375,542783738.0351665
Mill.var_goodwillSigma,427718039.32326376,694218155.9784883
Mill.var_total_value_destroyedMu,1220584860.3542345,3312582233.943123
Mill.var_total_value_destroyedSigma,1594866503.5927534,3715197274.23261
Mill.var_valueProducedMu,147103992.11411312,247539219.88398796
Mill.var_valueProducedSigma,192506593.0083414,302680292.5217434
