gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
-7700508.794854054,7.333687271707554E7,18601.7337753578,7.756528191820803E7,1.0260076768621933E8,0.0
-7700508.79485416,8.149492547747518E7,20136.991981047056,8.311304297287735E7,1.0496235195393068E8,0.0
-7700508.794854105,8.011629095115939E7,21859.280821309658,8.898015894295295E7,1.0585277522525412E8,0.0
-7700508.794854026,5.9983533477475174E7,22914.514956977077,9.481542569936486E7,1.0569959906658085E8,0.0
-7700508.794854023,5.860489895115938E7,23865.363972294334,1.003897454093019E8,1.0580661848339252E8,0.0
-7700508.794854152,6.6129645477475174E7,24803.2633158392,1.0528002453941467E8,1.0552367652436672E8,0.0
-7700508.794853961,6.475101095115938E7,26076.676882578806,1.108069047721842E8,1.058608980999544E8,0.0
-7700508.794853921,7.227575747747517E7,27863.952593738577,1.1684734037081592E8,1.0571903642623234E8,0.0
-7700508.794854144,7.089712295115939E7,29448.663753475965,1.2266956548631644E8,1.0574363422209688E8,0.0
-7700508.794854199,7.842186947747517E7,30850.45806419806,1.281311654582223E8,1.0586075873576577E8,0.0
-7700508.7948543355,7.70432349511594E7,32364.523709712284,1.3359630745626883E8,1.0585971655257356E8,0.0
-7700508.794853929,8.456798147747517E7,33497.91320643002,1.3926101934389654E8,1.058297917526685E8,0.0
-7700508.794854016,5.553184295115938E7,34475.23924581731,1.451304051333119E8,1.0551878898863098E8,0.0
-7700508.794853901,6.305658947747518E7,36249.82349089391,1.510804233018652E8,1.0573287459630212E8,0.0
-7700508.794854041,6.167795495115938E7,37031.359595926726,1.5652825374826875E8,1.0570738839247705E8,0.0
-7700508.794854033,6.920270147747517E7,38295.18672940594,1.6186810328590804E8,1.0558549209402741E8,0.0
-7700508.7948541995,6.782406695115939E7,39558.65500074073,1.6725985011526993E8,1.0585714243308717E8,0.0
-7700508.794853834,7.534881347747517E7,41228.02480380418,1.7257836445793515E8,1.0585147349690013E8,0.0
-7700508.794854194,7.397017895115939E7,42652.80379723958,1.776473181222415E8,1.0581614102011533E8,0.0
-7700508.79485438,8.149492547747518E7,43859.508392425654,1.8299580503243637E8,1.055250118971186E8,0.0
-7700508.7948536435,8.011629095115939E7,45272.73377535777,1.8862297334851322E8,1.0571903642623232E8,0.0
-7700508.794854073,5.9983533477475174E7,47183.84974909954,1.9421405893647036E8,1.0567674090592833E8,0.0
-7700508.794854066,5.860489895115938E7,49108.09920205358,1.9952970969182888E8,1.0573068445998761E8,0.0
-7700508.794854064,6.6129645477475174E7,50551.41867688948,2.04409524877218E8,1.054999736667456E8,0.0
-7700508.794854269,6.475101095115938E7,51915.07075566411,2.1023980150590688E8,1.0569294349601193E8,0.0
-3136914.465017181,1.672617381923077E8,-6791.553810031044,55805.94733319259,1954651.2692307695,0.0
-3136914.465017159,4.435164697564102E8,-9417.465821204225,139069.08715720018,6101189.961538462,0.0
-3136914.4650170635,7.218057801538464E8,-10830.774480422113,329588.55079765164,7515133.939903846,0.0
-3136914.4650173713,1.750442965240385E8,-12481.447664779644,914116.9781864673,1.5449147538461536E7,0.0
-3136914.4650167823,4.4659699419230765E8,-14070.034256958437,951341.8166672379,1.9579573536858972E7,0.0
-3136914.4650170775,7.1887907624359E8,-14678.58034634391,785571.6600647855,1.9924465591346152E7,0.0
-3136914.4650171483,1.7171394838461536E8,-14629.79543014278,1671592.9689118317,2.0959437139423072E7,0.0
-3136914.465017387,4.5443248560096145E8,-15846.003530701453,1648542.1196480382,1.3018976232371794E7,0.0
-3136914.4650172275,6.995483783333336E8,-17110.78425695842,1761157.4152634856,1.6812820562499996E7,0.0
-3136914.4650167087,1.7833043583173078E8,-16426.021687126005,2284203.577674911,1.992432366826923E7,0.0
-3136914.4650174584,4.515720744615384E8,-16806.708837964008,2739426.4303583996,2.096252944711538E7,0.0
-3136914.465017051,7.017709181538464E8,-16651.398782098095,2973445.1047619698,1.9924710206730764E7,0.0
-3136914.465017194,1.7601757961538467E8,-16723.95883796401,3546079.210079722,2.096252944711538E7,0.0
-3136914.465016693,4.503789262692307E8,-16779.52029047798,3246687.775330523,1.9924710206730764E7,0.0
