const_price,const_units
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
9578236.741483843,251.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
5287865.15826773,589.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
3252172.2569726817,858.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
5857942.020172981,685.0
9797790.491953183,822.0
9797790.491953183,822.0
