const_itersMu,const_itersSigma,const_number,const_produced,const_required,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
12.40913053730181,10.082485524834354,4.0,3.0,1.0,337187.9578279454,323117.6510863668,13.0,6703.068746608122,2500.7653353085348,0.0,0.0,0.0,0.0,35.92455405755416,25.542904899614975,0.0,0.0
