const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.4817102278934848E11,4.382863443906078E10,388.0,85.0,1.4614843455E9,4.220913775E8,1.3601017022954303E8,1.3601008368003494E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.5396534927184848E11,4.553395639656078E10,388.0,85.0,3.4836336135E9,1.0087294965E9,1.402725950628764E8,1.402725085133683E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.5974561003684848E11,4.725334407156078E10,388.0,85.0,1.7410544205E9,5.014141574999999E8,1.4724747206287646E8,1.4724738551336837E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.6552597335684848E11,4.897262919156078E10,388.0,85.0,9335018.0,671405.0,1.5344736272954318E8,1.534472761800351E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.7132029983934848E11,5.067795114906078E10,388.0,85.0,2.031484286E9,5.85966714E8,1.5770978756287655E8,1.5770970101336846E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.7710066315934848E11,5.239723626906079E10,388.0,85.0,2.997648835E8,8.38811515E7,1.6390967822954327E8,1.6390959168003517E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.8289498964184848E11,5.410255822656078E10,388.0,85.0,2.3219141515E9,6.705192704999999E8,1.6817210306287664E8,1.6817201651336855E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.8867535296184848E11,5.582184334656078E10,388.0,85.0,5.90194749E8,1.6843370799999997E8,1.7437199372954336E8,1.743719071800353E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-1.9446967944434848E11,5.752716530406078E10,388.0,85.0,2.612344017E9,7.550718269999999E8,1.7863441856287673E8,1.7863433201336864E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-2.002500427643485E11,5.9246450424060776E10,388.0,85.0,8.806246145E8,2.529862645E8,1.8483430922954345E8,1.8483422268003538E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-2.060443692468485E11,6.095177238156077E10,388.0,85.0,2.9027738825E9,8.396243834999999E8,1.8909673406287682E8,1.8909664751336873E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-2.118247325668485E11,6.2671057501560776E10,388.0,85.0,1.17105448E9,3.37538821E8,1.9529662472954354E8,1.9529653818003547E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-2.176190590493485E11,6.437637945906079E10,388.0,85.0,3.193203748E9,9.2417694E8,1.995590495628769E8,1.9955896301336882E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-2.233994223693485E11,6.609566457906079E10,388.0,85.0,1.4614843455E9,4.220913775E8,2.0575894022954363E8,2.0575885368003553E8,1.76557095E7,1.76557095E7
4.0,17.247365511087082,18.473167689158178,2.0,11.0,885085.6793890274,264244.19885229797,13.0,-2.291937488518485E11,6.780098653656079E10,388.0,85.0,3.4836336135E9,1.0087294965E9,2.10021365062877E8,2.1002127851336893E8,1.76557095E7,1.76557095E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.9631411188426242E9,1.997446482017251E9,204.5,196.5623310810085,4.981286205E8,4.9575484352565277E8,1.0664879963813245E7,1.8471916956628826E7,0.0,0.0
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-5.181975032092625E9,5.216426530863976E9,204.5,196.5623310810085,8.20216407E8,8.179523820741966E8,2.1329658713813245E7,3.694385560310694E7,1.27087305E7,2.201216692570022E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-8.388096524842625E9,8.419691789822765E9,204.5,196.5623310810085,1.10608413975E9,1.1312740631524947E9,3.1994437463813245E7,5.541579424958691E7,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.1617595216842625E10,1.1653031882778261E10,204.5,196.5623310810085,2.105748675E7,1.6707034191292575E7,5.3323994963813245E7,9.235967154254797E7,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.4823716709592625E10,1.4856484193480753E10,204.5,196.5623310810085,3.264199485E8,3.210034347685235E8,6.3988773713813245E7,1.1083161018902868E8,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.804255062284262E10,1.8076211520304108E10,204.5,196.5623310810085,6.48507735E8,6.432119438211172E8,7.465355246381325E7,1.2930354883550946E8,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-2.127204931484262E10,2.1309560366607212E10,204.5,196.5623310810085,9.8126030025E8,9.790603625071948E8,9.598310996381325E7,1.6624742612847108E8,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-2.449087953809262E10,2.452928689938124E10,204.5,196.5623310810085,1.27779281175E9,1.3061452454533634E9,1.0664788871381325E8,1.847193647749519E8,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-2.769700472084262E10,2.773280525591394E10,204.5,196.5623310810085,1.7143660125E8,1.611151873556618E8,1.1731266746381325E8,2.0319130342143276E8,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-3.092649972284262E10,3.0966144960823563E10,204.5,196.5623310810085,4.981286205E8,4.9575484352565277E8,1.3864222496381328E8,2.401351807143945E8,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-3.414533363609262E10,3.4185883382457855E10,204.5,196.5623310810085,8.20216407E8,8.179523820741966E8,1.4930700371381328E8,2.586071193608754E8,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-3.735145512884262E10,3.738941095168481E10,204.5,196.5623310810085,1.10608413975E9,1.1312740631524947E9,1.5997178246381328E8,2.770790580073562E8,2.5421151E7,4.4030725118880376E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-4.057698254884262E10,4.058359710518314E10,204.5,178.44957270893084,3.38644485E7,3.073641421379586E7,1.8130133996381328E8,3.14022935300318E8,1.27124205E7,2.201855819318015E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-4.371311644409262E10,4.3555853711193634E10,204.5,178.44957270893084,3.15027373E8,2.97912066723811E8,1.9196611871381328E8,3.3249487394679886E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-4.686196275984262E10,4.65445999365704E10,204.5,178.44957270893084,6.26283356E8,6.006998131472843E8,2.0263089746381328E8,3.509668125932798E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-5.002147385434262E10,4.954718170092326E10,204.5,178.44957270893084,9.5203920225E8,9.137472693984778E8,2.2396045496381328E8,3.8791068988624156E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-5.317033688759262E10,5.253636074627365E10,204.5,178.44957270893084,1.253741242E9,1.2253292626128097E9,2.3462523371381328E8,4.063826285327224E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-5.630645406534262E10,5.550942356542747E10,204.5,178.44957270893084,1.807452035E8,1.3654065800716984E8,2.4529001246381328E8,4.2485456717920333E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-5.946598187734262E10,5.851250405140891E10,204.5,178.44957270893084,4.832376855E8,4.6138930984198266E8,2.6661956996381328E8,4.6179844447216517E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-6.261482819309262E10,6.1502061005940216E10,204.5,178.44957270893084,7.944936685E8,7.641019474479738E8,2.772843487138133E8,4.80270383118646E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-6.575096208834262E10,6.447548166315408E10,204.5,178.44957270893084,1.0855309295E9,1.0620125510013698E9,2.879491274638133E8,4.987423217651269E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-6.891047318284262E10,6.7478837341547485E10,204.5,178.44957270893084,3.38644485E7,3.073641421379586E7,3.092786849638133E8,5.356861990580887E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-7.204660707809262E10,7.045241314326465E10,204.5,178.44957270893084,3.15027373E8,2.97912066723811E8,3.199434637138133E8,5.541581377045696E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-7.519545339384262E10,7.344228724038194E10,204.5,178.44957270893084,6.26283356E8,6.006998131472843E8,3.306082424638133E8,5.726300763510505E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-7.835496448834262E10,7.644583968347267E10,204.5,178.44957270893084,9.5203920225E8,9.137472693984778E8,3.519377999638133E8,6.095739536440123E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-8.150382752159262E10,7.943584321786745E10,204.5,178.44957270893084,1.253741242E9,1.2253292626128097E9,3.626025787138133E8,6.280458922904932E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-8.463994469934262E10,8.240961067645642E10,204.5,178.44957270893084,1.807452035E8,1.3654065800716984E8,3.732673574638133E8,6.46517830936974E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-8.779947251134262E10,8.541332171522093E10,204.5,178.44957270893084,4.832376855E8,4.6138930984198266E8,3.945969149638133E8,6.834617082299359E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-9.094831882709262E10,8.84034249940867E10,204.5,178.44957270893084,7.944936685E8,7.641019474479738E8,4.052616937138133E8,7.019336468764167E8,2.54415585E7,4.4066071945735835E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-9.408004054134262E10,9.136279092536465E10,204.5,172.9862711315554,1.0739550305E9,1.0401546467957422E9,4.159264724638133E8,7.204055855228977E8,1.27124205E7,2.201855819318015E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-9.721749176584262E10,9.429396813198761E10,204.5,172.9862711315554,4.1573613E7,4.227174222771714E7,4.372560299638133E8,7.573494628158596E8,2.54405235E7,4.406427927315E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.0033156579109262E11,9.719536141369884E10,204.5,172.9862711315554,3.20530447E8,2.842946984101526E8,4.479208087138133E8,7.758214014623404E8,2.54405235E7,4.406427927315E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.0345835223684262E11,1.0011307094034367E11,204.5,172.9862711315554,6.1801659275E8,5.89776622340979E8,4.585855874638133E8,7.942933401088213E8,2.54405235E7,4.406427927315E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.0659580346134262E11,1.0304447695607977E11,204.5,172.9862711315554,9.415663485E8,8.956449870815566E8,4.799151449638133E8,8.31237217401783E8,2.54405235E7,4.406427927315E7
