const_itersMu,const_itersSigma,const_number,const_produced,const_required,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
15.891144033900346,11.337314057177101,3.0,5.0,16.0,739119.1456877226,653640.612261452,16.0,5716.82104307591,5790.52533898248,0.0,0.0,0.0,0.0,115.36288133006197,17.441188493494963,0.0,0.0
