const_price,const_units
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
1165170.1818589824,298.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
4573846.080807087,83.0
2863093.1935683344,190.0
