const_itersMu,const_itersSigma,const_number,const_produced,const_required,const_salaryMu,const_salarySigma,const_tacticsMu,const_tacticsSigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,2693.7860600441127,3688.5114117098624,0.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,0.0,0.0
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979345413939957E7,3688.6286760196253,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670887413939957E7,97744.64356602117,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979344013939954E7,3687.284109494615,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670886013939958E7,97743.91738533379,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979343613939956E7,3687.5668184303013,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670885013939958E7,97743.91176565691,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979341413939957E7,3688.5814934947853,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670883613939956E7,97744.76985454987,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979340213939955E7,3688.141022667332,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670882613939956E7,97744.3327263205,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979339413939957E7,3688.410378104282,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670881413939957E7,97744.98023757605,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979337413939957E7,3688.0877106540443,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670879213939957E7,97744.700437886,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979336213939957E7,3688.2406167415415,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670878413939955E7,97744.17004513237,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.3979335213939957E7,3687.6059533056896,1.0,0.0,0.0,0.0,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
14.318383350160751,14.351683752928688,5.0,5.0,12.0,727448.2441968303,153937.5569859297,0.04877493872519123,0.5480996241388222,2.0,-1.4670876613939956E7,97744.18660856219,1.0,0.0,691542.4,96397.56053054455,87.58058627432007,35.1928373247209,1383084.8,192795.1210610891
