,mean,sd
CattleFarm.const_itersMu,8.969486759491435,5.683587150907249
CattleFarm.const_itersSigma,10.969772528639352,5.588189153021313
CattleFarm.const_number,3.1166666666666667,1.3797427727401068
CattleFarm.const_produced,9.3,5.420928163520605
CattleFarm.const_required,10.65,5.329506031974165
CattleFarm.const_salaryMu,511344.0721246341,293288.73953056464
CattleFarm.const_salarySigma,554786.9593102168,279230.04787175107
CattleFarm.const_time,9.516666666666667,6.128804367075103
