,mean,sd
Person.var_capitalMu,299812126.6471919,279498819.0258831
Person.var_capitalSigma,81302531.39246333,85127510.35332698
Person.var_happinessMu,-1261.0570660239596,32264.04868148419
Person.var_happinessSigma,19693.826263664894,33931.558452616824
Person.var_salaryMu,652803.4536411872,383080.5119459038
Person.var_salarySigma,163450.53254337606,140480.43037178842
Person.var_total_value_destroyedMu,14802737.181255307,55602130.93025573
Person.var_total_value_destroyedSigma,23138894.22932138,35336352.13700974
