,mean,sd
Refinery.var_capitalMu,-377103795.8033085,768196327.1190116
Refinery.var_employeesMu,1.614,3.4987499315746757
Refinery.var_goodwillMu,4256398.371911104,8779673.531223772
Refinery.var_total_value_destroyedMu,71256.51169209155,635295.9680266223
Refinery.var_valueProducedMu,189322.47771428572,1484951.0299820995
