,mean,sd
Person.var_capitalMu,243096274.83824506,235598747.3788457
Person.var_happinessMu,6047.369658260708,29557.774058584724
Person.var_salaryMu,561295.3423843029,359281.8305501071
Person.var_total_value_destroyedMu,28905743.58501969,61364941.27458137
