,mean,sd
Bakery.const_consumed,9.083333333333334,5.343460777428387
Bakery.const_itersMu,9.37455034151253,6.152435004558489
Bakery.const_itersSigma,10.255874912839936,6.077456920878172
Bakery.const_number,2.8,1.435509280928508
Bakery.const_produced,10.016666666666667,5.522066638696906
Bakery.const_salaryMu,560045.7980555887,315269.98557989625
Bakery.const_salarySigma,526065.6247223364,288805.6212805646
Bakery.const_time,10.116666666666667,5.640359927249755
