,mean,sd
OilField.const_itersMu,9.987911400201256,5.886313164250885
OilField.const_itersSigma,9.857306191175505,5.9142884870886645
OilField.const_number,2.716666666666667,1.438892754751212
OilField.const_produced,10.6,5.714095171405183
OilField.const_required,10.3,5.563600562322255
OilField.const_salaryMu,502778.1023623726,302315.13887963304
OilField.const_salarySigma,505528.8251254538,282276.8060776058
OilField.const_time,9.85,5.922206022651117
