const_itersMu,const_itersSigma,const_number,const_produced,const_required,const_salaryMu,const_salarySigma,const_tacticsMu,const_tacticsSigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
19.73917164124832,14.189170017651163,4.0,10.0,6.0,655033.1294281287,715477.4523196623,0.19971841933077372,0.9410631605106987,9.0,-4.684843446838054E7,1639034.956187478,1.0,0.0,2765978.0,1640897.673885852,35.2329307576271,27.151367454958297,0.0,0.0
19.73917164124832,14.189170017651163,4.0,10.0,6.0,655033.1294281287,715477.4523196623,0.19971841933077372,0.9410631605106987,9.0,-4.408245571838054E7,5027.797370789424,1.0,0.0,0.0,0.0,35.2329307576271,27.151367454958297,6223450.5,3692019.766243167
19.73917164124832,14.189170017651163,4.0,10.0,6.0,655033.1294281287,715477.4523196623,0.19971841933077372,0.9410631605106987,9.0,-4.753992821838054E7,2049257.8282198992,1.0,0.0,3457472.5,2051122.0923573151,35.2329307576271,27.151367454958297,6223450.5,3692019.766243167
19.73917164124832,14.189170017651163,4.0,10.0,6.0,655033.1294281287,715477.4523196623,0.19971841933077372,0.9410631605106987,9.0,-4.477394921838054E7,408380.9737167447,1.0,0.0,691494.5,410224.418471463,35.2329307576271,27.151367454958297,6223450.5,3692019.766243167
19.73917164124832,14.189170017651163,4.0,10.0,6.0,655033.1294281287,715477.4523196623,0.19971841933077372,0.9410631605106987,9.0,-4.823142171838054E7,2459480.826957281,1.0,0.0,4148967.0,2461346.510828778,35.2329307576271,27.151367454958297,6223450.5,3692019.766243167
16.428437243945048,11.207626432553488,2.0,2.0,15.0,72671.19897872534,418628.75825591135,0.5854996091843511,0.3394922841436453,4.0,-2.8227433850795392E7,2685.0731607042253,1.0,0.0,0.0,0.0,64.99058878900563,13.284017901242777,1489040.0,1486116.0
16.428437243945048,11.207626432553488,2.0,2.0,15.0,72671.19897872534,418628.75825591135,0.5854996091843511,0.3394922841436453,4.0,-2.8599693850795392E7,368843.9268392958,1.0,0.0,372260.0,371529.0,64.99058878900563,13.284017901242777,1489040.0,1486116.0
16.428437243945048,11.207626432553488,2.0,2.0,15.0,72671.19897872534,418628.75825591135,0.5854996091843511,0.3394922841436453,4.0,-2.8971953850795392E7,740372.9268392958,1.0,0.0,744520.0,743058.0,64.99058878900563,13.284017901242777,1489040.0,1486116.0
16.428437243945048,11.207626432553488,2.0,2.0,15.0,72671.19897872534,418628.75825591135,0.5854996091843511,0.3394922841436453,4.0,-2.9344213850795392E7,1111901.9268392958,1.0,0.0,1116780.0,1114587.0,64.99058878900563,13.284017901242777,1489040.0,1486116.0
16.428437243945048,11.207626432553488,2.0,2.0,15.0,72671.19897872534,418628.75825591135,0.5854996091843511,0.3394922841436453,4.0,-2.8227433850795392E7,2685.0731607042253,1.0,0.0,0.0,0.0,64.99058878900563,13.284017901242777,1489040.0,1486116.0
