gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
1681.210954332076,0.0,3.923493501543638,66.64593190668516,0.0,1.0
-3022520.777451461,4.4710541333333336E7,3.923493501543638,66.64593190668516,0.0,0.0
-3022520.777451467,5316897.857142858,8.371923994817186,6385.261584080595,1185419.1428571427,0.0
-3022520.7774514644,7.525263380952378E7,7.02214821006382,26666.69636668927,2358047.9523809524,0.0
-3022520.7774514616,4.39213716643991E7,12.942925489585507,77181.44970002245,3351446.5238095233,0.0
1990.9851216963486,0.0,62.46956152189114,35.376439646899996,0.0,1.0
-823946.6761283034,3.959738676190477E7,-3584.0721586321506,35.376439646899996,141813.33333333334,0.0
-823946.6761283082,1.031018497142857E8,-6641.809000737421,3757.9764396469013,141813.33333333334,0.0
-823946.6761283017,5.312602680952382E7,-9483.567665692484,-31706.91154112236,5731007.714285713,0.0
-823946.6761283113,2.6480349904761907E7,-11538.082428208538,15868.055948547091,1.3580378095238097E7,0.0
7484.761526212546,0.0,4.416704991072434,72.55874223635024,0.0,1.0
-8988441.983233344,1.865913531818182E7,-1235.4641568593718,967.4428359478175,21992.454545454548,0.11280101394169839
-8988441.983233323,4.017708377272727E7,-1994.7531302434,2850.2703465657123,399401.4545454546,0.0
-8988441.983233323,2.8311107499999996E7,-2780.438808316914,6446.314804710664,539044.2727272727,0.0
-8988441.98323331,5.2371149181818195E7,-3369.1029401293335,521275.83141657565,2.3015129045454547E7,0.0
2613.8771209432907,0.0,92.51117084347206,51.41035539963962,0.0,1.0
-796476.1228790558,6.356806252000001E7,-28.454251009916693,3892.498590693758,114925.36,0.0
-796476.1228790588,3.4998682120000005E7,-132.32838655625142,31079.022209232055,2337116.64,0.0
-796476.1228790579,7.241107035999998E7,-184.02409886607165,89371.87361094983,3031527.84,0.0
-796476.1228790706,8.679961995999996E7,-155.33806843730264,142352.56622262046,5284446.0,0.0
480.9083422916227,0.0,99.60235689757951,42.10698209203687,0.0,1.0
-681182.6138799296,1.017200235E8,-718.3817340115102,2990.0436487587012,132657.15000000002,0.0
-681182.6138799236,2.6242519304999998E8,-1260.4567340115102,2990.0436487587012,132657.15000000002,0.0
-681182.6138799367,1.0567737179444467E8,-1685.5555976478743,32469.410315425434,132657.15000000002,0.0
-681182.6138799324,2.6249092174444476E8,-2020.9351431024174,35673.610315425576,1077471.75,0.0
3363.1438007405804,0.0,42.75039443631462,56.5336055484561,0.0,1.0
-5142304.4530984815,1.4583535263157895E7,-2643.048768743603,5793.618984647235,128896.2105263158,0.0
-5142304.45309849,4.829001778947368E7,-3651.659647404691,12845.75355602661,604278.5789473684,0.0
-5142304.453098482,3.835525410526315E7,-4478.3207352708,40939.14537600936,604278.5789473684,0.0
-5142304.453098486,2.614560784210527E7,-5704.324919371216,89979.48448388746,3.2036446052631576E7,0.0
2974.6774207347084,0.0,43.54881916833965,35.83453828216614,0.0,1.0
-849966.1225792669,2.862586545454545E7,-16.362685256439146,10869.627130874764,265920.36363636365,0.0
-849966.1225792622,7.41458845454545E7,-93.17684454847459,40866.44194568958,265920.36363636365,0.0
-849966.1225792731,1.1939998327272727E8,92.42492536302989,151226.35305680064,265920.36363636365,0.0
-849966.122579271,9847890.227272728,75.50457138072902,260857.578453626,2073929.272727273,0.0
