gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
-224310.74654033082,3.141372164E7,22.985304227073378,1142200.8278256292,5773748.76,0.0
-224310.7465401665,8.533171080000001E7,22.985304227073378,1360662.0824985264,5773748.76,0.0
-224310.7465403779,1.3464970235999998E8,22.985304227073378,1469884.0883396477,5773748.76,0.0
-224310.74654015386,1.8170818300000003E8,22.985304227073378,1579106.0941807693,5773748.76,0.0
-224310.7465404939,8264600.8,22.985304227073378,1738180.7577321713,3740351.88,0.0
-224310.74653995223,5.66069742E7,22.985304227073378,1847498.1257228255,5777013.96,0.0
-224310.74654023058,1.0622586448E8,22.985304227073378,2016219.3278256292,5777013.96,0.0
-224310.7465404378,1.5592341660000002E8,22.985304227073378,2115890.157264875,5777013.96,0.0
-224310.7465406065,2.0401367596E8,22.985304227073378,2284611.3593676784,5777013.96,0.0
-224310.74654053,3.3653953199999996E7,22.985304227073378,2393928.7273583333,5777013.96,0.0
-224310.74654025352,8.219830599999999E7,22.985304227073378,2612485.3441807632,5777013.96,0.0
-224310.74654048565,1.3332158148000002E8,22.985304227073378,2721802.712171417,5777013.96,0.0
-224310.746540308,1.7970280144E8,22.985304227073378,2890523.914274221,5777013.96,0.0
-224310.7465403187,1.1052118079999998E7,22.985304227073378,3049676.696984501,5777013.96,0.0
-224310.74654065503,5.3819456919999994E7,22.985304227073378,3158994.0649751555,5777013.96,0.0
-224310.74654087902,1.0494005760000001E8,22.985304227073378,3268233.313806931,5777013.96,0.0
-224310.74654050206,1.5720922348000002E8,22.985304227073378,3486868.04978824,5777013.96,0.0
-224310.7465401434,2.0476453116000003E8,22.985304227073378,3596107.298620015,5777013.96,0.0
-224310.74654018483,3.2903098000000004E7,22.985304227073378,3705424.66661067,5777013.96,0.0
-224310.74654046213,8.294916119999999E7,22.985304227073378,3923981.2834330993,5777013.96,0.0
-224310.74653981254,1.3053406420000002E8,22.985304227073378,4033298.6514237537,5777013.96,0.0
-224310.7465401129,1.7656752552000007E8,22.985304227073378,4142616.0194144077,3740351.88,0.0
-224310.7465401173,1.15345636E7,22.985304227073378,4361167.799788247,5776848.359999999,0.0
-224310.74654028192,5.7487300440000005E7,22.985304227073378,4470480.331330302,5776848.359999999,0.0
-224310.74654050055,1.0490301675999999E8,22.985304227073378,4639196.696984508,5776848.359999999,0.0
-224310.7465403336,1.5424776000000006E8,22.985304227073378,4738867.526423761,5776848.359999999,0.0
-224310.74653934455,2.0198504488000003E8,22.985304227073378,4907583.892077966,5776848.359999999,0.0
-224310.74654118693,3.471093228E7,22.985304227073378,5016896.423620022,5776848.359999999,0.0
-224310.74654048518,8.105211111999999E7,22.985304227073378,5235448.203993854,5776848.359999999,0.0
-224310.74654107657,1.3182224652E8,22.985304227073378,5344760.735535909,5776848.359999999,0.0
-224310.7465406186,1.7785065760000005E8,22.985304227073378,5513477.101190115,5776848.359999999,0.0
-224310.7465396009,1.2285418799999999E7,22.985304227073378,5672625.047451797,5776848.359999999,0.0
-259302.0416278239,2.1358735416911763E8,-1387.2598971555258,3615.390713819255,18571.823529411766,0.0
-259302.04162782637,3.695265476470588E7,-1629.803663733777,87742.96854220044,4142829.6397058824,0.0
