,mean,sd
Bakery.var_capitalMu,-2041053764.3581793,4843913622.280248
Bakery.var_capitalSigma,2654077606.9242015,6383289335.151616
Bakery.var_employeesMu,32.25853000000012,56.2079705007878
Bakery.var_employeesSigma,38.38714322789837,67.86573002044197
Bakery.var_goodwillMu,154981527.5019469,316594562.76126754
Bakery.var_goodwillSigma,203696839.8555019,476530930.8610438
Bakery.var_total_value_destroyedMu,295621875.9607012,742797946.4569916
Bakery.var_total_value_destroyedSigma,293019506.51567346,954023702.568826
Bakery.var_valueProducedMu,66414440.43123179,148807978.10886997
Bakery.var_valueProducedSigma,76032189.05381677,207766741.85601717
