,mean,sd
Mill.const_consumed,10.304,5.463474527329894
Mill.const_itersMu,9.019832612810815,6.002552582065089
Mill.const_itersSigma,10.451548059596306,5.866803564687362
Mill.const_number,4.016,1.4422759902343467
Mill.const_produced,10.456,5.516352964595914
Mill.const_salaryMu,528733.0198115229,304611.91012962756
Mill.const_salarySigma,532234.9387717308,279808.3964460845
Mill.const_tacticsMu,0.49056773280235566,0.2735565560501957
Mill.const_tacticsSigma,0.4923000904086028,0.2880480679689056
Mill.const_time,10.112,5.499955081742047
