,mean,sd
OilField.const_itersMu,9.566742616117697,5.667847333444941
OilField.const_itersSigma,10.004684291885093,5.586703918106565
OilField.const_number,3.736,1.4151694389394422
OilField.const_produced,9.936,5.14598875242149
OilField.const_required,10.256,5.744307043733189
OilField.const_salaryMu,556857.46906768,266353.70072415686
OilField.const_salarySigma,488430.8893460361,290267.2019102157
OilField.const_tacticsMu,0.4883329849384098,0.2795194088584658
OilField.const_tacticsSigma,0.5200578406944085,0.28008479241442047
OilField.const_time,10.272,5.648043562085528
