,mean,sd
CattleFarm.const_itersMu,10.272824947112527,5.734073419745407
CattleFarm.const_itersSigma,10.991151640255545,5.638449140122912
CattleFarm.const_number,3.864,1.3877640930055335
CattleFarm.const_produced,9.952,5.98304733150875
CattleFarm.const_required,9.168,5.683857602671713
CattleFarm.const_salaryMu,525615.9224348941,270110.99617512134
CattleFarm.const_salarySigma,505153.7105629928,290758.0276511469
CattleFarm.const_tacticsMu,0.47439585498508274,0.29437456654230865
CattleFarm.const_tacticsSigma,0.47732676001634644,0.2814622119848098
CattleFarm.const_time,9.936,5.594476171432578
