,mean,sd
Farm.const_itersMu,10.650588575848433,6.356116769907631
Farm.const_itersSigma,9.321216074788595,6.094038038036966
Farm.const_number,3.92,1.505341559461569
Farm.const_produced,8.992,5.837700895930642
Farm.const_required,9.792,5.747638042588708
Farm.const_salaryMu,460328.35415569117,287116.9163120866
Farm.const_salarySigma,509494.285450632,288609.2328237656
Farm.const_tacticsMu,0.5003071992894529,0.29369334898184296
Farm.const_tacticsSigma,0.4956579703827375,0.2702898928193339
Farm.const_time,9.8,5.44848026402202
