,mean,sd
Farm.var_capitalMu,-374485727.59851235,714738017.3195916
Farm.var_capitalSigma,481439001.53863037,988727934.1443305
Farm.var_employeesMu,9.28639666666665,19.504189228525483
Farm.var_employeesSigma,11.195349168373602,23.835090199182694
Farm.var_goodwillMu,38845638.596263334,170531421.09562424
Farm.var_goodwillSigma,55701001.07157319,252698318.88055134
Farm.var_total_value_destroyedMu,50.34378109965803,39.17433932032615
Farm.var_total_value_destroyedSigma,33.32471839783706,26.917257640223294
Farm.var_valueProducedMu,78074957.5572705,301930628.0771508
Farm.var_valueProducedSigma,112207044.02927469,447786075.2014763
