,mean,sd
Refinery.const_consumed,10.288,5.529843744118462
Refinery.const_itersMu,9.191008214384228,5.675550885622037
Refinery.const_itersSigma,9.279322039469989,5.592735767453557
Refinery.const_number,4.376,1.3605124765468841
Refinery.const_produced,10.472,5.230553291722341
Refinery.const_salaryMu,531919.9101983233,289478.31567471015
Refinery.const_salarySigma,495639.89978750993,292807.41235663963
Refinery.const_tacticsMu,0.5014284728227051,0.26454429060104667
Refinery.const_tacticsSigma,0.5072364895977435,0.2923522869281591
Refinery.const_time,10.288,5.499373111630468
